seconds_elapsed,z,y,x
0.020000,-0.0124342300,0.0049026610,0.0051498630
0.040000,-0.0124687700,0.0057587520,0.0011760210
0.060000,-0.0121266600,0.0064641950,0.0028318480
0.080000,-0.0110782300,0.0050927880,0.0001156194
0.100000,-0.0103782500,0.0058754200,-0.0017855190
0.120000,-0.0102685100,0.0044068100,-0.0005725900
0.140000,-0.0109101500,0.0021534030,0.0027103080
0.160000,-0.0127373800,0.0030348750,0.0077476260
0.180000,-0.0145770100,0.0053370870,0.0051217050
0.200000,-0.0134614000,0.0071308930,-0.0005197748
0.220000,-0.0115231000,0.0064764860,-0.0011274060
0.240000,-0.0133910100,0.0064793960,-0.0032264280
0.260000,-0.0154804500,0.0064868180,0.0003253670
0.280000,-0.0170439000,0.0040255020,0.0077991040
0.300000,-0.0186958500,0.0025527900,0.0044469550
0.320000,-0.0135541000,0.0026613150,0.0028717610
0.340000,-0.0064074930,0.0046092780,0.0061776590
0.360000,-0.0058751680,0.0053960720,0.0045847100
0.380000,-0.0066722480,0.0038405560,0.0057586960
0.400000,-0.0060934160,0.0037961030,0.0057883770
0.420000,-0.0059088580,0.0030522600,0.0011041440
0.440000,-0.0034411290,0.0035673240,-0.0005641226
0.460000,-0.0005221292,0.0059211370,-0.0002554041
0.480000,-0.0015147700,0.0053911310,0.0014051630
0.500000,-0.0025491710,0.0044246720,0.0024992870
0.520000,-0.0016425130,0.0037803830,0.0019120950
0.540000,-0.0021950070,0.0041067070,0.0003077605
0.560000,-0.0027099010,0.0067869530,-0.0027014940
0.580000,-0.0034780820,0.0084190360,-0.0011509210
0.600000,-0.0058379660,0.0078322650,0.0008249403
0.620000,-0.0057695520,0.0057481810,-0.0011214890
0.640000,-0.0031555190,0.0032613160,-0.0004751479
0.660000,-0.0020336470,0.0010390000,-0.0003810116
0.680000,-0.0030754120,0.0003692236,-0.0021045830
0.700000,-0.0034770440,0.0007710968,-0.0028923690
0.720000,-0.0012310230,-0.0002651296,-0.0036099970
0.740000,0.0021521640,-0.0001203139,-0.0013360650
0.760000,0.0046926880,-0.0004739511,0.0018195650
0.780000,0.0053490140,-0.0023079320,0.0023861010
0.800000,0.0035399380,-0.0013895030,0.0019161080
0.820000,0.0030606450,-0.0012750250,0.0012699790
0.840000,0.0056075130,-0.0013072130,-0.0001190672
0.860000,0.0075589020,0.0001510277,-0.0033087800
0.880000,0.0087798070,-0.0006600794,-0.0047121560
0.900000,0.0040005560,-0.0005247120,-0.0030640660
0.920000,-0.0059796810,0.0013062020,-0.0019947990
0.940000,-0.0058616280,0.0017725080,-0.0008362394
0.960000,0.0025580110,-0.0005146824,-0.0010414390
0.980000,0.0094981680,-0.0036124960,-0.0034782640
1.000000,0.0111799400,-0.0026109010,-0.0043201350
1.020000,0.0057089060,-0.0017493080,-0.0045738310
1.040000,0.0033286270,-0.0032024150,-0.0067765400
1.060000,0.0050952450,-0.0025208670,-0.0098432660
1.080000,0.0040154560,-0.0024781590,-0.0096509530
1.100000,0.0029302590,-0.0036931080,-0.0053733610
1.120000,0.0017427760,-0.0052474890,-0.0032746970
1.140000,0.0009943084,-0.0081281650,-0.0052209990
1.160000,0.0026010590,-0.0080864940,-0.0078844950
1.180000,0.0045714420,-0.0063852530,-0.0086255020
1.200000,0.0048041780,-0.0065804380,-0.0069553450
1.220000,0.0060776290,-0.0056992040,-0.0056280290
1.240000,0.0115859900,-0.0031871720,-0.0050167820
1.260000,0.0165064200,-0.0006840997,-0.0044772770
1.280000,0.0193727500,-0.0004422898,-0.0036168710
1.300000,0.0159349500,-0.0011986470,-0.0018760200
1.320000,0.0075103390,-0.0006982578,-0.0009356201
1.340000,0.0081256590,-0.0020161260,-0.0014484670
1.360000,0.0097291020,-0.0014878200,-0.0040132860
1.380000,0.0077435980,0.0002894301,-0.0065231460
1.400000,0.0111459200,-0.0032162440,-0.0070347990
1.420000,0.0125684900,-0.0066573160,-0.0081566410
1.440000,0.0135932400,-0.0075707380,-0.0079970420
1.460000,0.0144431900,-0.0060278560,-0.0053014380
1.480000,0.0093134100,-0.0033429100,-0.0028334260
1.500000,0.0062069980,-0.0048069090,-0.0019504870
1.520000,0.0051642920,-0.0050880080,-0.0039473900
1.540000,0.0075896280,-0.0039178710,-0.0055884550
1.560000,0.0130713300,-0.0049738240,-0.0036800860
1.580000,0.0130086300,-0.0047825440,-0.0018612940
1.600000,0.0129328000,-0.0057568620,-0.0016950550
1.620000,0.0126344900,-0.0062793010,-0.0011449950
1.640000,0.0098917700,-0.0038457230,-0.0013845560
1.660000,0.0107121700,-0.0038987480,-0.0037215560
1.680000,0.0128137600,-0.0049727720,-0.0050503670
1.700000,0.0147993700,-0.0040881150,-0.0030722920
1.720000,0.0124113000,-0.0040907180,-0.0008425630
1.740000,0.0020918210,-0.0048901710,-0.0016938920
1.760000,-0.0065828390,-0.0061019610,-0.0041212270
1.780000,-0.0045163300,-0.0088670610,-0.0043747150
1.800000,0.0048839730,-0.0087566370,-0.0018888160
1.820000,0.0094531330,-0.0054612340,-0.0004755311
1.840000,0.0077416450,-0.0048273700,-0.0012094590
1.860000,0.0052982440,-0.0045649000,-0.0011527690
1.880000,0.0043182720,-0.0033650400,-0.0007673123
1.900000,0.0058410900,-0.0039990680,-0.0012922230
1.920000,0.0073620490,-0.0044897910,-0.0029112940
1.940000,0.0104944900,-0.0045977630,-0.0054497830
1.960000,0.0107223300,-0.0049057220,-0.0051718810
1.980000,0.0080386350,-0.0049500230,-0.0025837570
2.000000,0.0117928200,-0.0048359220,-0.0028526850
2.020000,0.0126840900,-0.0050229270,-0.0038748070
2.040000,0.0106115800,-0.0074342790,-0.0022579530
2.060000,0.0107560600,-0.0095306510,0.0004791210
2.080000,0.0060092110,-0.0083941800,0.0052052430
2.100000,0.0018575880,-0.0065128350,0.0073154040
2.120000,-0.0002181602,-0.0059837940,-0.0003986478
2.140000,-0.0009322491,-0.0062534750,-0.0088869030
2.160000,0.0002716646,-0.0055034380,-0.0084266440
2.180000,-0.0005275157,-0.0046250310,-0.0031140010
2.200000,0.0022753130,-0.0036159520,0.0002616479
2.220000,0.0061405730,-0.0009639715,-0.0009490577
2.240000,0.0062182250,-0.0002767166,-0.0018327190
2.260000,0.0049762900,-0.0013354530,-0.0004694151
2.280000,0.0015986530,-0.0011752600,-0.0009420574
2.300000,-0.0008068704,-0.0025896390,-0.0017160510
2.320000,0.0007755880,-0.0032953760,-0.0033251040
2.340000,0.0053213060,-0.0004900609,-0.0068000490
2.360000,0.0072602220,-0.0001790134,-0.0063481780
