seconds_elapsed,z,y,x
0.020000,0.5819866000,0.8129748000,0.1270420000
0.040000,0.5838197000,0.8126187000,0.1252481000
0.060000,0.5863347000,0.8147275000,0.1210851000
0.080000,0.5903848000,0.8180618000,0.1177832000
0.100000,0.5901345000,0.8215589000,0.1184318000
0.120000,0.5864099000,0.8223354000,0.1175399000
0.140000,0.5827369000,0.8195042000,0.1160892000
0.160000,0.5799123000,0.8171003000,0.1190298000
0.180000,0.5774100000,0.8182734000,0.1224830000
0.200000,0.5776490000,0.8214921000,0.1242711000
0.220000,0.5800673000,0.8222544000,0.1258325000
0.240000,0.5773734000,0.8200910000,0.1260676000
0.260000,0.5750038000,0.8160879000,0.1271990000
0.280000,0.5772633000,0.8142232000,0.1277994000
0.300000,0.5777964000,0.8168241000,0.1237581000
0.320000,0.5803691000,0.8179833000,0.1197388000
0.340000,0.5833269000,0.8180279000,0.1184685000
0.360000,0.5817045000,0.8179889000,0.1170941000
0.380000,0.5815721000,0.8159228000,0.1162565000
0.400000,0.5823516000,0.8149332000,0.1179996000
0.420000,0.5808601000,0.8154409000,0.1206017000
0.440000,0.5769372000,0.8178191000,0.1220252000
0.460000,0.5710404000,0.8213393000,0.1226498000
0.480000,0.5694165000,0.8227784000,0.1226578000
0.500000,0.5720977000,0.8212026000,0.1248597000
0.520000,0.5741873000,0.8181921000,0.1284217000
0.540000,0.5779585000,0.8177236000,0.1276234000
0.560000,0.5805829000,0.8181828000,0.1240555000
0.580000,0.5778409000,0.8181202000,0.1201969000
0.600000,0.5770063000,0.8194939000,0.1174053000
0.620000,0.5784266000,0.8213199000,0.1183254000
0.640000,0.5783771000,0.8229367000,0.1203478000
0.660000,0.5823850000,0.8221576000,0.1223488000
0.680000,0.5872197000,0.8204299000,0.1246164000
0.700000,0.5866257000,0.8185470000,0.1252650000
0.720000,0.5852219000,0.8136490000,0.1251023000
0.740000,0.5854353000,0.8112741000,0.1248801000
0.760000,0.5847064000,0.8130415000,0.1249500000
0.780000,0.5835066000,0.8149330000,0.1253518000
0.800000,0.5817609000,0.8174062000,0.1257361000
0.820000,0.5789260000,0.8187722000,0.1265230000
0.840000,0.5800894000,0.8180252000,0.1256911000
0.860000,0.5817432000,0.8177204000,0.1243643000
0.880000,0.5787487000,0.8176096000,0.1251313000
0.900000,0.5790458000,0.8144781000,0.1251944000
0.920000,0.5806616000,0.8111996000,0.1247415000
0.940000,0.5801968000,0.8123274000,0.1249866000
0.960000,0.5810754000,0.8131855000,0.1242509000
0.980000,0.5804690000,0.8122437000,0.1241719000
1.000000,0.5818161000,0.8135688000,0.1254372000
1.020000,0.5853754000,0.8153135000,0.1261318000
1.040000,0.5865210000,0.8154033000,0.1263866000
1.060000,0.5867105000,0.8152700000,0.1265626000
1.080000,0.5864865000,0.8152500000,0.1261285000
1.100000,0.5876770000,0.8149030000,0.1254172000
1.120000,0.5870988000,0.8135537000,0.1248773000
1.140000,0.5852421000,0.8118965000,0.1255027000
1.160000,0.5874175000,0.8122961000,0.1287793000
1.180000,0.5879397000,0.8127845000,0.1316365000
1.200000,0.5867908000,0.8115028000,0.1306434000
1.220000,0.5857947000,0.8122520000,0.1290284000
1.240000,0.5829155000,0.8155521000,0.1290143000
