seconds_elapsed,z,y,x
0.020000,0.0165310200,-0.0039826900,-0.0162327300
0.040000,0.0161717600,0.0001253989,-0.0147750000
0.060000,0.0166228400,-0.0002839289,-0.0141493400
0.080000,0.0173118400,0.0021836400,-0.0119518400
0.100000,0.0147395800,0.0021336150,-0.0126587300
0.120000,0.0121591800,-0.0004034635,-0.0170683300
0.140000,0.0123089300,0.0030920570,-0.0199631600
0.160000,0.0148678300,0.0011360160,-0.0163924500
0.180000,0.0164065700,-0.0055525120,-0.0025577140
0.200000,0.0171385800,-0.0132408400,0.0137051300
0.220000,0.0195068300,-0.0178552200,0.0230638300
0.240000,0.0194473600,-0.0138158900,0.0231739000
0.260000,0.0199488300,-0.0090355870,0.0205590400
0.280000,0.0210076700,-0.0051164600,0.0191886900
0.300000,0.0181082700,-0.0058074070,0.0176103300
0.320000,0.0182724000,-0.0103936500,0.0195769000
0.340000,0.0219662600,-0.0117068200,0.0210112200
0.360000,0.0242785100,-0.0145014100,0.0234894200
0.380000,0.0274041100,-0.0173543000,0.0295544000
0.400000,0.0304649100,-0.0171128600,0.0276647500
0.420000,0.0319780600,-0.0163950300,0.0245667500
0.440000,0.0327673200,-0.0180925900,0.0259869800
0.460000,0.0308810600,-0.0235131000,0.0228790800
0.480000,0.0282257300,-0.0268154500,0.0203264800
0.500000,0.0287576000,-0.0254025200,0.0197047400
0.520000,0.0288097700,-0.0209673300,0.0170929200
0.540000,0.0266286500,-0.0170353500,0.0144537300
0.560000,0.0261308400,-0.0155836400,0.0101781500
0.580000,0.0251471700,-0.0142859200,0.0088481800
0.600000,0.0221342200,-0.0156650200,0.0120308500
0.620000,0.0226472600,-0.0176109600,0.0154346700
0.640000,0.0240057100,-0.0167287700,0.0263244300
0.660000,0.0216036300,-0.0172869100,0.0353640700
0.680000,0.0210804200,-0.0178235800,0.0211043800
0.700000,0.0209464900,-0.0137964800,0.0027593040
0.720000,0.0175624100,-0.0063648740,0.0027055730
0.740000,0.0154721400,-0.0019590920,-0.0005824488
0.760000,0.0152912400,-0.0025976380,-0.0107704200
0.780000,0.0160255900,-0.0015498570,-0.0100008200
0.800000,0.0164936200,-0.0001505695,-0.0137146400
0.820000,0.0168296200,-0.0034903540,-0.0214652700
0.840000,0.0184542700,-0.0037955310,-0.0157477300
0.860000,0.0190876800,-0.0001318792,-0.0133285200
0.880000,0.0194083800,-0.0003337155,-0.0164599500
0.900000,0.0196548900,0.0013498970,-0.0150857800
0.920000,0.0188872300,0.0030273890,-0.0174575900
0.940000,0.0189838400,-0.0000577754,-0.0188408500
0.960000,0.0189492900,0.0009054440,-0.0173213200
0.980000,0.0178578500,0.0017935850,-0.0179004400
1.000000,0.0184352700,0.0021541950,-0.0167551300
1.020000,0.0198567200,0.0033619480,-0.0155940100
1.040000,0.0190492000,-0.0025617130,-0.0136419700
1.060000,0.0191186200,-0.0056414230,-0.0102657200
1.080000,0.0198140700,-0.0044505320,-0.0087067210
1.100000,0.0188836600,-0.0050497040,-0.0061112440
1.120000,0.0184383000,-0.0031152950,-0.0059935760
1.140000,0.0163783500,-0.0017724740,-0.0119773200
1.160000,0.0150253700,-0.0005558086,-0.0158600300
1.180000,0.0169985500,-0.0007478238,-0.0180151700
1.200000,0.0171057300,-0.0020194530,-0.0230045400
1.220000,0.0148173800,0.0000668271,-0.0224116300
1.240000,0.0143837100,0.0008649021,-0.0194951200
1.260000,0.0168489500,0.0026420210,-0.0223529900
1.280000,0.0180626100,0.0030876300,-0.0230288900
1.300000,0.0160307000,-0.0003002625,-0.0239677300
1.320000,0.0128004000,0.0012748750,-0.0268343500
1.340000,0.0116686500,0.0052467200,-0.0241592800
1.360000,0.0140911400,0.0074237070,-0.0183539300
1.380000,0.0176664900,0.0057322350,-0.0097854350
1.400000,0.0198036000,0.0016119830,-0.0057931720
1.420000,0.0171864700,0.0017248570,-0.0080982300
1.440000,0.0154732900,-0.0000415247,-0.0037925030
1.460000,0.0169391800,-0.0043424700,-0.0004144797
1.480000,0.0140256700,-0.0055367500,-0.0027059230
1.500000,0.0139399400,-0.0056548910,-0.0028372620
1.520000,0.0172645900,-0.0030197690,-0.0042424700
1.540000,0.0174714000,-0.0012050510,-0.0081917940
1.560000,0.0189059700,-0.0020194470,-0.0124288100
1.580000,0.0182976900,-0.0008914769,-0.0150195200
1.600000,0.0161995500,-0.0001927785,-0.0192447300
1.620000,0.0147036100,0.0017250050,-0.0274644300
1.640000,0.0126303000,0.0033382160,-0.0298828300
1.660000,0.0145424900,0.0011505460,-0.0290363000
1.680000,0.0163120200,0.0000777726,-0.0311629200
1.700000,0.0187438300,-0.0020588430,-0.0308465500
1.720000,0.0230751800,-0.0051540660,-0.0291259200
1.740000,0.0226281100,-0.0051583210,-0.0251736700
1.760000,0.0206413500,-0.0044338930,-0.0189906000
1.780000,0.0151855900,-0.0015716850,-0.0171235500
1.800000,0.0090282650,0.0014565370,-0.0163193300
1.820000,0.0114997000,-0.0008007284,-0.0142203700
1.840000,0.0125393100,-0.0035036110,-0.0154229400
1.860000,0.0098160350,-0.0016774180,-0.0174862500
1.880000,0.0130461400,-0.0004353377,-0.0160011900
1.900000,0.0169497000,-0.0021500650,-0.0147793500
1.920000,0.0168697900,-0.0030052010,-0.0159624700
1.940000,0.0144684700,-0.0018260010,-0.0163343300
1.960000,0.0108685900,0.0026947320,-0.0190381300
1.980000,0.0132171800,0.0065671760,-0.0242508400
2.000000,0.0174375600,0.0051588990,-0.0265975900
2.020000,0.0161652000,0.0041532120,-0.0260661900
2.040000,0.0172883000,0.0041735840,-0.0218481300
2.060000,0.0184203100,0.0017269440,-0.0180170900
2.080000,0.0157992600,0.0015777760,-0.0202930900
2.100000,0.0150188300,0.0062083430,-0.0220942500
2.120000,0.0143236700,0.0066499900,-0.0197905000
2.140000,0.0122061800,0.0000518437,-0.0175595800
2.160000,0.0097386630,-0.0029041000,-0.0122581100
2.180000,0.0120083900,-0.0020279100,-0.0021535220
2.200000,0.0161973300,-0.0041927460,0.0012121230
