seconds_elapsed,z,y,x
0.020000,0.0058736810,-0.0026167920,-0.0045640420
0.040000,0.0078774470,0.0011765450,-0.0071174260
0.060000,0.0118012000,-0.0002307362,-0.0041307650
0.080000,0.0128430900,0.0004380789,-0.0005646608
0.100000,0.0145037000,0.0004614291,0.0020840880
0.120000,0.0114223100,-0.0043389660,0.0007508816
0.140000,0.0048122840,-0.0075421680,-0.0014591620
0.160000,0.0079133920,-0.0065888100,-0.0018346280
0.180000,0.0067247300,-0.0048121870,-0.0016363290
0.200000,-0.0026310310,-0.0030003270,0.0012057170
0.220000,-0.0061401780,0.0001786499,0.0033761220
0.240000,-0.0045280940,0.0007501968,0.0033559360
0.260000,0.0015871510,0.0008307828,0.0034007360
0.280000,0.0053099180,0.0046264120,0.0018497570
0.300000,0.0046720750,0.0027948970,-0.0013449160
0.320000,0.0044546890,-0.0022046450,-0.0022826580
0.340000,0.0002395648,-0.0019476170,0.0013156450
0.360000,-0.0039393970,-0.0020158120,0.0062194030
0.380000,-0.0029964300,-0.0007798990,0.0083066540
0.400000,0.0022577710,0.0019588670,0.0036443440
0.420000,0.0069970150,0.0017492220,-0.0037728630
0.440000,0.0100815800,-0.0000194928,-0.0058142260
0.460000,0.0151469800,-0.0034056540,-0.0069919130
0.480000,0.0108051400,-0.0040850780,-0.0053274660
0.500000,-0.0065263250,-0.0041014320,0.0033598130
0.520000,-0.0206491700,-0.0053454940,0.0062906040
0.540000,-0.0156092700,-0.0020060980,0.0006080729
0.560000,-0.0044285470,-0.0002360337,-0.0022483590
0.580000,-0.0105787700,-0.0006110884,0.0042894670
0.600000,-0.0123366800,0.0002472800,0.0102969300
0.620000,-0.0086451350,0.0002371482,0.0035163580
0.640000,-0.0178809400,0.0032866410,-0.0011990220
0.660000,-0.0175407000,0.0074639940,0.0050380700
0.680000,-0.0138197700,0.0100762700,0.0080610500
0.700000,-0.0111328300,0.0078106080,0.0061335900
0.720000,0.0031721490,-0.0030449770,0.0036151720
0.740000,0.0112632400,-0.0150930600,0.0007214136
0.760000,0.0146359700,-0.0224064800,-0.0025597500
0.780000,0.0124466100,-0.0208280500,-0.0057601560
0.800000,0.0029161890,-0.0138240400,-0.0047299520
0.820000,0.0016963440,-0.0072626920,-0.0029869300
0.840000,-0.0009744800,0.0037642270,-0.0022945990
0.860000,-0.0097868910,0.0138574700,0.0014868850
0.880000,-0.0187006900,0.0152118300,0.0020307320
0.900000,-0.0243114900,0.0113909200,0.0000441529
0.920000,-0.0252998900,0.0092706570,0.0014813540
0.940000,-0.0239523200,0.0088766800,0.0021017710
0.960000,-0.0171121500,0.0041847260,0.0049995900
0.980000,-0.0181781200,0.0025158400,0.0094409320
1.000000,-0.0221602500,0.0035118750,0.0061007340
1.020000,-0.0153028900,0.0003947729,0.0013771730
1.040000,-0.0127266000,0.0013673150,0.0005783403
1.060000,-0.0087163610,0.0038763560,-0.0005047961
1.080000,-0.0051285200,0.0060312530,0.0009687355
1.100000,-0.0070325690,0.0079920590,0.0036221180
1.120000,-0.0018890810,-0.0011325340,0.0029105430
1.140000,-0.0034268050,-0.0104059900,0.0025654290
1.160000,-0.0055882710,-0.0055072520,0.0025992980
1.180000,-0.0016082110,-0.0004383842,0.0016968200
1.200000,-0.0039820640,0.0001379523,0.0022714040
1.220000,0.0001049506,0.0082504890,0.0014872770
1.240000,0.0035230000,0.0112383200,0.0009946913
1.260000,-0.0020961860,-0.0018718110,0.0054720060
1.280000,-0.0053000280,-0.0134004100,0.0091215850
1.300000,-0.0102555400,-0.0165041900,0.0079651630
1.320000,-0.0166426400,-0.0146913800,0.0057324530
1.340000,-0.0199193100,-0.0100873900,0.0026006270
1.360000,-0.0197751700,-0.0026896370,-0.0019733760
1.380000,-0.0169809300,0.0099086510,-0.0010948120
1.400000,-0.0058712100,0.0159284700,0.0024954540
1.420000,0.0068989160,0.0126460900,0.0001208118
1.440000,-0.0002725961,0.0035217010,0.0013694170
1.460000,-0.0065758400,-0.0072761970,0.0068975770
1.480000,-0.0012166530,0.0012314440,0.0076376430
1.500000,-0.0053975530,0.0164937000,0.0070420830
1.520000,-0.0049519860,0.0152112700,0.0018019600
1.540000,0.0020662270,0.0097744820,-0.0077504480
1.560000,0.0025188340,0.0037471220,-0.0119423400
1.580000,0.0016866320,-0.0012788830,-0.0063645280
1.600000,-0.0016544520,-0.0035194950,0.0007751011
1.620000,0.0008644119,-0.0112180700,-0.0007274366
1.640000,0.0137429900,-0.0107474000,0.0063059210
1.660000,0.0228009300,0.0022610320,0.0164042700
1.680000,0.0193852900,0.0070805760,0.0001436704
1.700000,0.0147731000,-0.0062659260,-0.0173419000
1.720000,0.0276049100,-0.0221191800,-0.0131090800
1.740000,0.0360916700,-0.0190343000,-0.0097406120
1.760000,0.0190978900,-0.0140801700,-0.0097803510
1.780000,0.0006242581,-0.0127563700,-0.0013079920
1.800000,-0.0058198160,0.0016029850,0.0060885150
1.820000,-0.0062691580,0.0023010230,0.0045261830
1.840000,-0.0094676650,-0.0021215180,-0.0051469720
1.860000,-0.0121167700,0.0132507200,-0.0146385800
1.880000,-0.0095743570,0.0183128900,-0.0020485940
1.900000,-0.0145935100,0.0165097700,0.0139841800
1.920000,-0.0154107700,0.0154739400,0.0045843620
1.940000,-0.0056922640,0.0041635540,-0.0000207047
1.960000,-0.0027279830,-0.0042903120,0.0052421630
1.980000,-0.0045802280,-0.0131337000,0.0017501470
2.000000,-0.0062359940,-0.0143373400,0.0035466130
2.020000,0.0004610515,-0.0044050690,0.0033239950
2.040000,0.0086383450,-0.0036522090,-0.0012855300
2.060000,0.0056123060,-0.0041742160,0.0017852860
2.080000,0.0102586100,-0.0027407190,0.0012617580
2.100000,0.0188640500,0.0012525710,0.0000370015
2.120000,0.0149583200,0.0086137770,0.0019608600
2.140000,0.0067779330,0.0064990180,0.0026949340
2.160000,-0.0017494040,0.0057314410,0.0097863070
2.180000,-0.0038802060,0.0079895320,0.0130801800
2.200000,0.0062526510,0.0039895850,-0.0024877430
2.220000,0.0142278500,0.0000465655,-0.0233203500
2.240000,0.0109445500,-0.0078750290,-0.0262174800
2.260000,0.0098551570,-0.0148582900,-0.0167012100
2.280000,0.0124471400,-0.0085573480,-0.0107518800
2.300000,0.0054612230,0.0004707278,-0.0043262310
2.320000,-0.0021750510,0.0034828530,-0.0033745910
2.340000,-0.0036336680,0.0113344200,-0.0047233430
2.360000,-0.0055442360,0.0245891100,0.0044058710
2.380000,-0.0014029080,0.0262314100,0.0050007140
2.400000,0.0063101220,0.0146508800,-0.0012256160
2.420000,0.0045164020,0.0016247820,-0.0000357966
2.440000,0.0022510730,-0.0030569930,0.0000474495
2.460000,0.0096280550,0.0080156390,0.0048226710
2.480000,0.0178544300,0.0251734200,0.0071530960
2.500000,0.0234633200,0.0322274500,-0.0076617360
2.520000,0.0256549800,0.0310064000,-0.0204930400
2.540000,0.0309264700,0.0312650500,-0.0153307500
2.560000,0.0539991300,0.0266400800,-0.0101752500
