seconds_elapsed,z,y,x
0.020000,-0.0520616000,-0.1853516000,1.0112790000
0.040000,-0.0513169900,-0.1860865000,1.0115770000
0.060000,-0.0484133300,-0.1881209000,1.0140700000
0.080000,-0.0474483500,-0.1880699000,1.0118990000
0.100000,-0.0459249800,-0.1885955000,1.0140630000
0.120000,-0.0471069300,-0.1939117000,1.0156800000
0.140000,-0.0471921400,-0.1968595000,1.0129370000
0.160000,-0.0485725100,-0.1966344000,1.0141140000
0.180000,-0.0538724000,-0.1974130000,1.0151410000
0.200000,-0.0536201900,-0.1984672000,1.0149750000
0.220000,-0.0506666200,-0.1986411000,1.0147760000
0.240000,-0.0478338700,-0.1986497000,1.0130790000
0.260000,-0.0476398300,-0.1988692000,1.0132060000
0.280000,-0.0510387200,-0.1993168000,1.0139580000
0.300000,-0.0495958600,-0.2004316000,1.0164010000
0.320000,-0.0498329100,-0.2000938000,1.0193920000
0.340000,-0.0512660000,-0.1996432000,1.0180200000
0.360000,-0.0480036400,-0.1992642000,1.0170730000
0.380000,-0.0470819200,-0.1941246000,1.0166590000
0.400000,-0.0469199900,-0.1882067000,1.0134730000
0.420000,-0.0486377200,-0.1876897000,1.0123530000
0.440000,-0.0511643600,-0.1888299000,1.0128290000
0.460000,-0.0511888700,-0.1871815000,1.0123460000
0.480000,-0.0517266600,-0.1883053000,1.0134810000
0.500000,-0.0491216900,-0.1965098000,1.0143390000
0.520000,-0.0479239800,-0.2057636000,1.0137040000
0.540000,-0.0492435200,-0.2080380000,1.0146200000
0.560000,-0.0496567600,-0.2001579000,1.0175090000
0.580000,-0.0532761500,-0.1943704000,1.0201070000
0.600000,-0.0553152000,-0.1971720000,1.0176360000
0.620000,-0.0559145000,-0.1953440000,1.0123450000
0.640000,-0.0573603300,-0.1922557000,1.0110450000
0.660000,-0.0568619700,-0.1976148000,1.0112620000
0.680000,-0.0559871300,-0.2020127000,1.0118160000
0.700000,-0.0551491800,-0.1996491000,1.0130700000
0.720000,-0.0549159600,-0.1972522000,1.0123980000
0.740000,-0.0521611500,-0.1974459000,1.0119460000
0.760000,-0.0486147100,-0.1969029000,1.0109820000
0.780000,-0.0503917100,-0.1975598000,1.0098740000
0.800000,-0.0533351200,-0.1997545000,1.0140470000
0.820000,-0.0542375500,-0.2018442000,1.0183050000
0.840000,-0.0526669600,-0.2036504000,1.0156500000
0.860000,-0.0511751600,-0.2015440000,1.0122000000
0.880000,-0.0550521300,-0.1995203000,1.0128750000
0.900000,-0.0594568700,-0.1992406000,1.0144880000
0.920000,-0.0575856800,-0.1965575000,1.0165370000
0.940000,-0.0515428800,-0.1943264000,1.0172650000
0.960000,-0.0452494600,-0.1928224000,1.0152290000
0.980000,-0.0437552400,-0.1942895000,1.0146930000
1.000000,-0.0503501300,-0.1972291000,1.0137210000
1.020000,-0.0544444200,-0.1961134000,1.0117140000
1.040000,-0.0494904200,-0.1980111000,1.0126790000
1.060000,-0.0456882800,-0.2009351000,1.0137020000
1.080000,-0.0477037500,-0.1972285000,1.0139080000
1.100000,-0.0511944000,-0.1944599000,1.0139170000
1.120000,-0.0533500200,-0.1961800000,1.0129670000
1.140000,-0.0569690500,-0.1972066000,1.0139130000
1.160000,-0.0611880600,-0.1970531000,1.0176770000
1.180000,-0.0578165100,-0.1974219000,1.0196680000
1.200000,-0.0516992200,-0.1970476000,1.0143110000
1.220000,-0.0494364000,-0.1961238000,1.0089940000
1.240000,-0.0472471900,-0.1959878000,1.0128370000
1.260000,-0.0467474100,-0.1964848000,1.0151220000
1.280000,-0.0461458500,-0.1976613000,1.0104320000
1.300000,-0.0447566700,-0.1975811000,1.0086980000
1.320000,-0.0465740700,-0.1987275000,1.0102010000
1.340000,-0.0462811700,-0.2046059000,1.0105430000
1.360000,-0.0468925900,-0.2084237000,1.0101780000
1.380000,-0.0503541300,-0.2050687000,1.0086910000
1.400000,-0.0502991900,-0.1981639000,1.0079640000
1.420000,-0.0530792400,-0.1942331000,1.0101160000
1.440000,-0.0576970100,-0.1958832000,1.0136910000
1.460000,-0.0598227300,-0.1989675000,1.0164570000
1.480000,-0.0624550100,-0.2014980000,1.0163310000
1.500000,-0.0625502900,-0.2035745000,1.0149560000
1.520000,-0.0624780600,-0.2027654000,1.0135280000
1.540000,-0.0627573300,-0.2003045000,1.0108740000
1.560000,-0.0629374100,-0.2001475000,1.0112440000
1.580000,-0.0675539600,-0.2017534000,1.0153000000
1.600000,-0.0720899200,-0.2029141000,1.0178240000
1.620000,-0.0741519300,-0.2010613000,1.0188010000
1.640000,-0.0752584000,-0.1970281000,1.0191080000
1.660000,-0.0739883300,-0.1967325000,1.0174150000
1.680000,-0.0686653800,-0.1978307000,1.0133900000
1.700000,-0.0627756700,-0.1978212000,1.0112020000
1.720000,-0.0634201400,-0.1990564000,1.0129340000
