seconds_elapsed,z,y,x
0.020000,-0.0497897400,0.1119130000,0.0907470000
0.040000,-0.0526030600,0.1365939000,0.1052417000
0.060000,-0.0552968100,0.1577565000,0.1145528000
0.080000,-0.0654626900,0.1504972000,0.1214722000
0.100000,-0.0689155000,0.1160398000,0.1130143000
0.120000,-0.0638043400,0.0897521400,0.0997683300
0.140000,-0.0611101600,0.0962088700,0.1007376000
0.160000,-0.0545878900,0.1071551000,0.0897669100
0.180000,-0.0523496000,0.0991161500,0.0757762700
0.200000,-0.0557532700,0.1034962000,0.0835102100
0.220000,-0.0703762400,0.1192450000,0.0998031000
0.240000,-0.0905404600,0.1392971000,0.1185482000
0.260000,-0.0857819200,0.1629368000,0.1223872000
0.280000,-0.0756247300,0.1268990000,0.1124616000
0.300000,-0.0717751000,0.0697636000,0.1040889000
0.320000,-0.0449042800,0.0831453000,0.0870401200
0.340000,-0.0152854900,0.1102278000,0.0903907400
0.360000,-0.0164160900,0.1091817000,0.1012136000
0.380000,-0.0374926400,0.0810623200,0.0683167000
0.400000,-0.0617683500,0.0215934500,0.0335716600
0.420000,-0.0748620200,-0.0007240059,0.0196355100
0.440000,-0.0678103100,0.0090486310,0.0168854800
0.460000,-0.0570299100,0.0088994050,0.0445259000
0.480000,-0.0479970400,0.0268257600,0.0802436500
0.500000,-0.0409219400,0.0446157700,0.1042289000
0.520000,-0.0549313800,0.0675655700,0.1225896000
0.540000,-0.0763234200,0.1017594000,0.1337732000
0.560000,-0.0879772700,0.1056100000,0.1313782000
0.580000,-0.1012768000,0.1067753000,0.1248100000
0.600000,-0.1036945000,0.1030380000,0.1327972000
0.620000,-0.0986554900,0.0746340300,0.1317061000
0.640000,-0.1133606000,0.0520879100,0.1191565000
0.660000,-0.1347227000,0.0387957600,0.1082115000
0.680000,-0.1391520000,0.0490440900,0.0898561700
0.700000,-0.1190482000,0.0614268100,0.0871474000
0.720000,-0.0831201400,0.0476271400,0.0862147900
0.740000,-0.0539501300,0.0341550700,0.0677416600
0.760000,-0.0339863300,0.0083292690,0.0507835800
0.780000,-0.0165058600,-0.0200252200,0.0336308300
0.800000,0.0000440996,-0.0336912700,0.0286028400
0.820000,0.0141623700,-0.0480330500,0.0312948400
0.840000,0.0199255600,-0.0447382300,0.0273058100
0.860000,0.0250250600,-0.0309814900,0.0240701200
0.880000,0.0299273800,-0.0120264200,0.0191027700
0.900000,0.0261544200,0.0086435100,0.0227593400
0.920000,0.0192351500,0.0089916290,0.0283454600
0.940000,0.0066642930,0.0176049900,0.0267035000
0.960000,-0.0148102900,0.0362101500,0.0358332600
0.980000,-0.0347838900,0.0512968600,0.0554474800
1.000000,-0.0401693600,0.0637109500,0.0703017300
1.020000,-0.0288119200,0.0481066100,0.0603006600
1.040000,-0.0098255230,0.0238232000,0.0352752100
1.060000,0.0148913600,0.0055085820,0.0226890900
1.080000,0.0249085000,-0.0021809890,0.0229527900
1.100000,0.0147897500,0.0257531500,0.0378340800
