seconds_elapsed,z,y,x
0.020000,0.0016621180,0.0062130550,0.0239974300
0.040000,-0.0079524980,0.0112040000,0.0174242900
0.060000,-0.0163314900,0.0170014500,0.0035154700
0.080000,-0.0250981800,0.0237808000,-0.0094974910
0.100000,-0.0278074100,0.0310023600,-0.0176332100
0.120000,-0.0233242100,0.0291808600,-0.0281224500
0.140000,-0.0046360040,0.0202483000,-0.0349661600
0.160000,0.0076073130,0.0108754900,-0.0233919600
0.180000,0.0122590800,-0.0033848360,-0.0008160407
0.200000,0.0219861400,-0.0178236100,0.0205133300
0.220000,0.0255875600,-0.0237328600,0.0323457500
0.240000,0.0318413100,-0.0249681300,0.0285415500
0.260000,0.0329312400,-0.0211340000,0.0238352600
0.280000,0.0243740000,-0.0115231900,0.0170368500
0.300000,0.0172594300,-0.0019185690,-0.0014360390
0.320000,-0.0035770630,0.0080239450,-0.0070969710
0.340000,-0.0197630400,0.0148454400,-0.0021846440
0.360000,-0.0137630400,0.0131575200,-0.0074108310
0.380000,-0.0070133630,0.0089864200,-0.0093707520
0.400000,0.0039798820,0.0072610090,-0.0067586010
0.420000,0.0194706600,0.0029819530,-0.0039078690
0.440000,0.0208453100,-0.0061388540,0.0087942780
0.460000,0.0163369100,-0.0154286800,0.0298680500
0.480000,0.0176440600,-0.0191070200,0.0512073900
0.500000,0.0167019700,-0.0114930100,0.0547266700
0.520000,0.0161893300,-0.0013155630,0.0388306100
0.540000,0.0224549300,0.0003265773,0.0263267600
0.560000,0.0274079800,-0.0019413190,0.0205929600
0.580000,0.0311305400,-0.0088754030,0.0212907800
0.600000,0.0378300400,-0.0198573700,0.0343753500
0.620000,0.0431831000,-0.0220472500,0.0525224000
0.640000,0.0446093700,-0.0036385070,0.0663995000
0.660000,0.0442266200,0.0240331600,0.0783968200
0.680000,0.0459209300,0.0305346600,0.0938927100
0.700000,0.0457581200,0.0230794000,0.1075579000
0.720000,0.0410640600,0.0231046600,0.1200446000
0.740000,0.0391187500,0.0146666800,0.1254067000
0.760000,0.0397941700,-0.0077520520,0.1153436000
0.780000,0.0395704100,-0.0202721600,0.1044529000
0.800000,0.0373466800,-0.0160595800,0.0831977700
0.820000,0.0336386300,-0.0151417700,0.0502720300
0.840000,0.0321452600,-0.0228909800,0.0288314200
0.860000,0.0276266600,-0.0258833200,0.0062821780
0.880000,0.0205736200,-0.0247049100,-0.0174001700
0.900000,0.0219534500,-0.0246207900,-0.0246931600
0.920000,0.0264477100,-0.0259567900,-0.0090297900
0.940000,0.0247408200,-0.0251781300,0.0199771700
0.960000,0.0220898200,-0.0144901900,0.0260342900
0.980000,0.0211095000,0.0002718151,0.0135322900
1.000000,0.0170091600,0.0044004130,0.0027035020
1.020000,0.0129074800,-0.0010061140,-0.0161244500
1.040000,0.0117793000,-0.0043716010,-0.0394140200
1.060000,0.0101979200,-0.0138273700,-0.0632925500
1.080000,0.0099746260,-0.0349794800,-0.0858908200
1.100000,0.0082845420,-0.0477094000,-0.1091823000
1.120000,-0.0021302620,-0.0527619700,-0.1335611000
1.140000,-0.0143196400,-0.0549261900,-0.1507773000
1.160000,-0.0194973000,-0.0413416100,-0.1694812000
1.180000,-0.0219654600,-0.0266899000,-0.1740117000
1.200000,-0.0172666400,-0.0264896300,-0.1624439000
1.220000,-0.0063527530,-0.0338048400,-0.1638411000
1.240000,-0.0128592100,-0.0392315700,-0.1521474000
1.260000,-0.0236551600,-0.0337205200,-0.1255481000
1.280000,-0.0235216400,-0.0244207800,-0.1121162000
1.300000,-0.0345746700,-0.0198584900,-0.0963920500
1.320000,-0.0399688700,-0.0194303900,-0.0876386100
1.340000,-0.0321645100,-0.0195601300,-0.0814537500
1.360000,-0.0266748500,-0.0076523510,-0.0533521300
1.380000,-0.0097817610,0.0074345060,-0.0257806900
1.400000,0.0002948607,0.0066123940,-0.0033573310
1.420000,-0.0008300827,-0.0049449010,0.0194332600
1.440000,0.0064400880,-0.0177969900,0.0232809100
1.460000,0.0037297810,-0.0234246800,0.0198630200
1.480000,-0.0017503420,-0.0183180100,0.0348153300
1.500000,0.0022023900,-0.0085525250,0.0433066600
1.520000,0.0078756220,0.0078313570,0.0338709400
1.540000,0.0187844100,0.0230850200,0.0376301700
1.560000,0.0231064900,0.0233936900,0.0320659200
1.580000,0.0165156000,0.0309858900,0.0095567800
1.600000,0.0068551730,0.0525466600,-0.0046270110
1.620000,-0.0026037170,0.0569307000,-0.0178789500
1.640000,-0.0050996720,0.0527433900,-0.0073097430
1.660000,-0.0022349150,0.0518801200,0.0129337900
1.680000,0.0043560640,0.0509619500,0.0140557200
1.700000,0.0135394000,0.0578671200,0.0221692200
1.720000,0.0221231300,0.0540038500,0.0331264200
1.740000,0.0270084700,0.0507890800,0.0522296600
1.760000,0.0281932700,0.0589982300,0.0779990400
1.780000,0.0365761200,0.0554245100,0.0903504400
1.800000,0.0508199900,0.0584715500,0.1064821000
1.820000,0.0599524000,0.0556055100,0.1204776000
1.840000,0.0654350900,0.0393355500,0.1275751000
1.860000,0.0717782800,0.0438635900,0.1402230000
1.880000,0.0773649400,0.0488773100,0.1516860000
1.900000,0.0778496600,0.0418719100,0.1595261000
1.920000,0.0677246200,0.0328812600,0.1643480000
1.940000,0.0485933300,0.0173261700,0.1668032000
1.960000,0.0343608900,-0.0058121380,0.1638883000
1.980000,0.0219794400,-0.0181312200,0.1587993000
2.000000,0.0100378900,-0.0070582290,0.1577827000
2.020000,0.0186643100,-0.0048829750,0.1534652000
2.040000,0.0311129400,-0.0037544940,0.1463845000
2.060000,0.0277519900,0.0027184830,0.1341909000
2.080000,0.0222894000,-0.0098270820,0.1168706000
2.100000,0.0081450630,-0.0146290600,0.1043584000
2.120000,-0.0068481330,-0.0163215100,0.0872621800
2.140000,-0.0016021280,-0.0185049200,0.0657464800
