seconds_elapsed,z,y,x
0.020000,-0.0014344710,0.0002856822,0.0010821140
0.040000,-0.0056412040,-0.0003504178,-0.0004935905
0.060000,-0.0041128340,0.0000735758,-0.0018780500
0.080000,-0.0027315900,-0.0018607360,0.0008843932
0.100000,-0.0044718220,-0.0049028390,0.0034075880
0.120000,-0.0039625350,-0.0055966500,0.0006277291
0.140000,-0.0040422120,-0.0026198070,-0.0015053280
0.160000,-0.0061364580,-0.0019685750,0.0002626795
0.180000,-0.0056990530,-0.0045079000,0.0016516540
0.200000,-0.0063997200,-0.0038524020,0.0033819930
0.220000,-0.0067384470,-0.0044181680,0.0072079370
0.240000,-0.0043155150,-0.0059476550,0.0096550380
0.260000,-0.0015274930,-0.0057719480,0.0064037070
0.280000,0.0030004220,-0.0082724040,-0.0001736570
0.300000,0.0015537460,-0.0081480430,-0.0005380418
0.320000,-0.0089491190,-0.0065774030,0.0062607940
0.340000,-0.0156185900,-0.0081333060,0.0107812600
0.360000,-0.0130451200,-0.0066323480,0.0082095810
0.380000,-0.0049545910,-0.0055840050,0.0031106750
0.400000,0.0022986710,-0.0054550130,0.0007569692
0.420000,0.0025469960,0.0009605905,-0.0026528070
0.440000,0.0019022720,0.0089024480,-0.0066864700
0.460000,0.0034721000,0.0099157220,-0.0063068750
0.480000,-0.0041668380,0.0033873400,-0.0052713210
0.500000,-0.0133299800,-0.0013488060,-0.0028934160
0.520000,-0.0110067600,0.0002349077,0.0023079640
0.540000,-0.0095110850,0.0055637890,0.0058204710
0.560000,-0.0089338810,0.0130710600,0.0041392060
0.580000,-0.0041920420,0.0144007800,-0.0028578440
0.600000,-0.0079479180,0.0078279030,-0.0061941980
0.620000,-0.0183700500,-0.0019712400,-0.0027568280
0.640000,-0.0233553900,-0.0116793400,0.0002582840
0.660000,-0.0169473500,-0.0108553700,-0.0011534650
0.680000,-0.0059021810,-0.0030097320,-0.0040066820
0.700000,-0.0060663410,-0.0018614520,-0.0033905270
0.720000,-0.0116176800,-0.0070376170,-0.0023431080
0.740000,-0.0125010300,-0.0120711900,-0.0009544449
0.760000,-0.0127709700,-0.0095628330,-0.0003815264
0.780000,-0.0126189000,-0.0014472360,-0.0024873280
0.800000,-0.0143213100,0.0041712240,-0.0017117880
0.820000,-0.0136696000,0.0058789650,-0.0022964610
0.840000,-0.0035409940,-0.0007074888,-0.0018220380
0.860000,0.0054097430,-0.0084332420,0.0016282120
0.880000,0.0039232810,-0.0073777230,-0.0004819509
0.900000,-0.0039263780,-0.0044093720,-0.0013614390
0.920000,-0.0075216700,0.0042246370,-0.0008716556
0.940000,-0.0054559800,0.0144943400,-0.0010369340
0.960000,-0.0052775680,0.0103462500,0.0044845220
0.980000,-0.0055611820,0.0050838540,0.0072531000
1.000000,-0.0055781000,0.0069130220,0.0010370910
1.020000,-0.0061088620,-0.0005573315,-0.0051455860
1.040000,-0.0065643240,-0.0094678130,-0.0015299580
1.060000,-0.0068158770,-0.0049432440,0.0024269800
