seconds_elapsed,z,y,x
0.020000,-0.0419709300,-0.1664775000,1.0207290000
0.040000,-0.0462140900,-0.1670384000,1.0191810000
0.060000,-0.0447207000,-0.1665426000,1.0178250000
0.080000,-0.0433732300,-0.1684085000,1.0206150000
0.100000,-0.0451462200,-0.1713856000,1.0231650000
0.120000,-0.0446688500,-0.1720179000,1.0204120000
0.140000,-0.0447797800,-0.1689832000,1.0183050000
0.160000,-0.0469048100,-0.1682779000,1.0200990000
0.180000,-0.0464979100,-0.1707669000,1.0215130000
0.200000,-0.0472290600,-0.1700648000,1.0232680000
0.220000,-0.0475984700,-0.1705879000,1.0271190000
0.240000,-0.0452066400,-0.1720786000,1.0295910000
0.260000,-0.0424502900,-0.1718682000,1.0263640000
0.280000,-0.0379546300,-0.1743380000,1.0198120000
0.300000,-0.0394340100,-0.1741872000,1.0194730000
0.320000,-0.0499698700,-0.1725946000,1.0262980000
0.340000,-0.0566727500,-0.1741332000,1.0308460000
0.360000,-0.0541335200,-0.1726195000,1.0283020000
0.380000,-0.0460785600,-0.1715631000,1.0232320000
0.400000,-0.0388624400,-0.1714308000,1.0209080000
0.420000,-0.0386527300,-0.1650165000,1.0175300000
0.440000,-0.0393372500,-0.1570803000,1.0135290000
0.460000,-0.0378080900,-0.1560766000,1.0139410000
0.480000,-0.0454883000,-0.1626175000,1.0150100000
0.500000,-0.0546932400,-0.1673688000,1.0174210000
0.520000,-0.0524125800,-0.1658025000,1.0226550000
0.540000,-0.0509606100,-0.1604930000,1.0261990000
0.560000,-0.0504286100,-0.1530066000,1.0245490000
0.580000,-0.0457336900,-0.1516988000,1.0175830000
0.600000,-0.0495383000,-0.1582937000,1.0142780000
0.620000,-0.0600111500,-0.1681146000,1.0177460000
0.640000,-0.0650495800,-0.1778439000,1.0207900000
0.660000,-0.0586976500,-0.1770409000,1.0194070000
0.680000,-0.0477121900,-0.1692163000,1.0165820000
0.700000,-0.0479398500,-0.1680896000,1.0172240000
0.720000,-0.0535584600,-0.1732879000,1.0182970000
0.740000,-0.0545128500,-0.1783443000,1.0197090000
0.760000,-0.0548577100,-0.1758598000,1.0203050000
0.780000,-0.0547846100,-0.1677696000,1.0182200000
0.800000,-0.0565701900,-0.1621779000,1.0190150000
0.820000,-0.0560060100,-0.1604982000,1.0184480000
0.840000,-0.0459693800,-0.1671137000,1.0189390000
0.860000,-0.0371148900,-0.1748691000,1.0224040000
0.880000,-0.0387013200,-0.1738441000,1.0203070000
0.900000,-0.0466539800,-0.1709072000,1.0194400000
0.920000,-0.0503548300,-0.1623056000,1.0199400000
0.940000,-0.0483970100,-0.1520693000,1.0197840000
0.960000,-0.0483286300,-0.1562510000,1.0253130000
0.980000,-0.0487242600,-0.1615467000,1.0280880000
1.000000,-0.0488550200,-0.1597500000,1.0218780000
1.020000,-0.0495012900,-0.1672516000,1.0157000000
1.040000,-0.0500738000,-0.1761920000,1.0193200000
1.060000,-0.0504438200,-0.1716964000,1.0232810000
1.080000,-0.0495011500,-0.1686675000,1.0198330000
1.100000,-0.0500052800,-0.1707543000,1.0214500000
1.120000,-0.0489661700,-0.1698321000,1.0235530000
1.140000,-0.0460877100,-0.1729662000,1.0214500000
1.160000,-0.0456451600,-0.1745277000,1.0234670000
1.180000,-0.0450329300,-0.1706189000,1.0231510000
1.200000,-0.0429045500,-0.1686351000,1.0186190000
1.220000,-0.0381858600,-0.1664890000,1.0148880000
1.240000,-0.0356747200,-0.1669989000,1.0147390000
1.260000,-0.0369904700,-0.1707208000,1.0162590000
1.280000,-0.0363256300,-0.1714950000,1.0131370000
1.300000,-0.0362557700,-0.1655347000,1.0133540000
1.320000,-0.0341731000,-0.1572020000,1.0177110000
1.340000,-0.0325082800,-0.1593672000,1.0201500000
1.360000,-0.0386572100,-0.1645645000,1.0244430000
1.380000,-0.0417557100,-0.1648127000,1.0233780000
1.400000,-0.0384801500,-0.1686740000,1.0170170000
1.420000,-0.0357263200,-0.1703072000,1.0149750000
1.440000,-0.0341469400,-0.1680162000,1.0177420000
1.460000,-0.0355152900,-0.1680271000,1.0237740000
1.480000,-0.0366538500,-0.1683688000,1.0245610000
1.500000,-0.0340787800,-0.1709292000,1.0216850000
1.520000,-0.0289939900,-0.1731082000,1.0225200000
1.540000,-0.0229125800,-0.1716837000,1.0220430000
1.560000,-0.0238584700,-0.1686058000,1.0221170000
1.580000,-0.0322339100,-0.1636985000,1.0222660000
1.600000,-0.0366307100,-0.1633799000,1.0197450000
1.620000,-0.0375742600,-0.1743440000,1.0183910000
1.640000,-0.0401952400,-0.1883070000,1.0178260000
1.660000,-0.0431281200,-0.1898995000,1.0199560000
1.680000,-0.0468043700,-0.1837796000,1.0215770000
1.700000,-0.0446249200,-0.1809934000,1.0195920000
1.720000,-0.0354174100,-0.1745361000,1.0189980000
1.740000,-0.0321363100,-0.1693743000,1.0185460000
1.760000,-0.0357801700,-0.1721907000,1.0184020000
1.780000,-0.0423349800,-0.1752531000,1.0210270000
1.800000,-0.0483435100,-0.1815198000,1.0248350000
1.820000,-0.0484562200,-0.1846851000,1.0260190000
1.840000,-0.0446921600,-0.1769710000,1.0236620000
1.860000,-0.0385805700,-0.1718795000,1.0209070000
1.880000,-0.0352743300,-0.1717091000,1.0160530000
1.900000,-0.0338881200,-0.1678463000,1.0137440000
1.920000,-0.0313955600,-0.1627142000,1.0173620000
1.940000,-0.0364221300,-0.1630528000,1.0195730000
1.960000,-0.0410521700,-0.1651177000,1.0230640000
1.980000,-0.0376673400,-0.1627552000,1.0261510000
2.000000,-0.0333513700,-0.1606250000,1.0221300000
2.020000,-0.0283537600,-0.1576488000,1.0194100000
2.040000,-0.0279734400,-0.1534101000,1.0211190000
2.060000,-0.0363471700,-0.1506840000,1.0212100000
2.080000,-0.0428316600,-0.1469322000,1.0206140000
2.100000,-0.0398567000,-0.1528345000,1.0218380000
2.120000,-0.0369951800,-0.1634408000,1.0222910000
