seconds_elapsed,z,y,x
0.020000,0.0035274140,0.0553054200,-0.1555132000
0.040000,-0.0042865620,0.1268627000,-0.1699790000
0.060000,-0.0054843690,0.2115241000,-0.1678339000
0.080000,0.0129992700,0.1876855000,-0.1061068000
0.100000,0.0135306800,0.2052127000,-0.0859282900
0.120000,0.0202320600,0.1848938000,-0.0242249300
0.140000,-0.0025746670,0.1664698000,0.0284511500
0.160000,-0.0335071400,0.1735341000,0.0589356100
0.180000,-0.0399745000,0.1793860000,0.0766983300
0.200000,-0.0340132300,0.2332841000,0.0726619400
0.220000,0.0129612000,0.2440623000,0.1197974000
0.240000,0.1024556000,0.1536997000,0.2082697000
0.260000,0.1722820000,0.0455131200,0.2751770000
0.280000,0.0538377200,0.0491881100,0.2575034000
0.300000,-0.1976832000,0.0845301700,0.2296171000
0.320000,-0.2866364000,0.0274333300,0.2505356000
0.340000,-0.2424096000,-0.0236452300,0.2118632000
0.360000,-0.2327877000,-0.1547692000,0.1136142000
0.380000,-0.2367231000,-0.3764976000,-0.0191089000
0.400000,-0.1775968000,-0.3879748000,-0.0973370100
0.420000,-0.0872783200,-0.2213154000,0.0014145250
0.440000,-0.0938570900,-0.0713121300,0.1373944000
0.460000,-0.1581076000,0.0708058100,0.2465517000
0.480000,-0.2141892000,0.1292585000,0.2884213000
0.500000,-0.2482497000,0.0812276400,0.1370605000
0.520000,-0.1826240000,0.0422739000,-0.0303990100
0.540000,-0.0805946600,-0.0104310400,-0.1274314000
0.560000,0.0050158180,-0.0547759400,-0.2128829000
0.580000,0.0812427000,-0.0276952300,-0.2182637000
0.600000,0.0869731800,-0.0216573200,-0.2161727000
0.620000,0.0694559200,-0.0268801200,-0.2315062000
0.640000,0.0772787500,-0.0163483200,-0.2431984000
0.660000,0.0909546400,-0.0383807800,-0.2894137000
0.680000,0.1246641000,-0.0380745200,-0.3064838000
0.700000,0.1808305000,-0.0203736100,-0.3095734000
0.720000,0.2340008000,0.0032589160,-0.3214598000
0.740000,0.2417291000,0.0506890200,-0.3097041000
0.760000,0.2258060000,0.0783266700,-0.2653321000
0.780000,0.2122456000,0.0954892800,-0.1630044000
0.800000,0.1515197000,0.0219720200,-0.0058764320
0.820000,0.0946261100,-0.1570427000,0.2191502000
0.840000,0.1210023000,-0.2125253000,0.4060386000
0.860000,0.1864564000,-0.0822555500,0.4111610000
0.880000,0.2278562000,0.1304871000,0.3387469000
0.900000,0.1715879000,0.3136443000,0.3334215000
0.920000,0.0149438900,0.2639540000,0.4319006000
0.940000,-0.1331435000,-0.0185689800,0.5407871000
0.960000,-0.2145688000,-0.2309748000,0.4842300000
0.980000,-0.2238111000,-0.2236024000,0.2482416000
1.000000,-0.2326691000,-0.1856814000,-0.0777970400
1.020000,-0.2433530000,-0.1495578000,-0.2998442000
1.040000,-0.1612876000,0.0515174500,-0.2505554000
1.060000,-0.1249703000,0.1437848000,-0.1540098000
1.080000,-0.1812237000,-0.0382577000,-0.0697275000
1.100000,-0.1881278000,-0.1783017000,0.1438343000
1.120000,-0.1684855000,-0.2807471000,0.1869404000
1.140000,-0.0991241500,-0.3214495000,0.0154353500
1.160000,-0.0007394527,-0.1871860000,-0.1135818000
1.180000,0.0192836800,-0.0719496300,-0.2344040000
1.200000,0.0064105320,0.0274682400,-0.2821250000
1.220000,0.0079238970,0.0721649100,-0.2557970000
1.240000,0.0161032800,0.0304909700,-0.2366718000
1.260000,0.0097577110,0.0543976300,-0.1706766000
1.280000,0.0093860150,0.0714231200,-0.1418383000
1.300000,0.0233700900,0.1112262000,-0.1425214000
1.320000,0.0316443800,0.1887582000,-0.1201693000
1.340000,0.0703965500,0.1904840000,-0.1254160000
1.360000,0.0945791100,0.1606359000,-0.1376802000
1.380000,0.0911215000,0.1157769000,-0.1538909000
1.400000,0.0907767200,0.0973418200,-0.1352920000
1.420000,0.0510823400,0.1090379000,-0.0635950900
1.440000,-0.0112941100,0.1175749000,0.0255228200
1.460000,-0.0522722800,0.1692087000,0.1257567000
1.480000,-0.0229362200,0.2324521000,0.1849823000
1.500000,0.0688868200,0.2680067000,0.2101756000
1.520000,0.1827127000,0.2419298000,0.2225479000
