seconds_elapsed,z,y,x
0.020000,-0.2317507000,-0.0028013490,0.8375308000
0.040000,-0.2393221000,0.0682452600,0.8233830000
0.060000,-0.2403074000,0.1523644000,0.8258013000
0.080000,-0.2216398000,0.1279640000,0.8877512000
0.100000,-0.2209512000,0.1449227000,0.9080981000
0.120000,-0.2141173000,0.1240407000,0.9699140000
0.140000,-0.2368140000,0.1050700000,1.0226480000
0.160000,-0.2676575000,0.1116135000,1.0531390000
0.180000,-0.2740563000,0.1169792000,1.0708630000
0.200000,-0.2680474000,0.1704337000,1.0667500000
0.220000,-0.2210464000,0.1808197000,1.1137760000
0.240000,-0.1315450000,0.0901253100,1.2021170000
0.260000,-0.0617267100,-0.0183269600,1.2688790000
0.280000,-0.1801873000,-0.0148497300,1.2510610000
0.300000,-0.4317283000,0.0203614700,1.2230440000
0.320000,-0.5207085000,-0.0368008000,1.2438580000
0.340000,-0.4765259000,-0.0878815700,1.2051170000
0.360000,-0.4669766000,-0.2189496000,1.1068460000
0.380000,-0.4710238000,-0.4405737000,0.9741504000
0.400000,-0.4120568000,-0.4519153000,0.8959987000
0.420000,-0.3219514000,-0.2851088000,0.9948702000
0.440000,-0.3287999000,-0.1349627000,1.1310090000
0.460000,-0.3933775000,0.0072858580,1.2403650000
0.480000,-0.4498454000,0.0658569300,1.2824780000
0.500000,-0.4843554000,0.0179367600,1.1314140000
0.520000,-0.4192477000,-0.0209089700,0.9643102000
0.540000,-0.3178089000,-0.0735055300,0.8676896000
0.560000,-0.2328610000,-0.1177412000,0.7826973000
0.580000,-0.1573640000,-0.0905519300,0.7778104000
0.600000,-0.1524220000,-0.0844081900,0.7804155000
0.620000,-0.1707763000,-0.0895294700,0.7656021000
0.640000,-0.1638291000,-0.0789016500,0.7544225000
0.660000,-0.1510584000,-0.1008447000,0.7086991000
0.680000,-0.1182743000,-0.1004568000,0.6920865000
0.700000,-0.0630438400,-0.0826834800,0.6894061000
0.720000,-0.0108085700,-0.0589886300,0.6778671000
0.740000,-0.0040015460,-0.0115059800,0.6898959000
0.760000,-0.0208187800,0.0161764300,0.7344554000
0.780000,-0.0352338000,0.0333795900,0.8368763000
0.800000,-0.0967643300,-0.0400973200,0.9939995000
0.820000,-0.1544049000,-0.2190702000,1.2189270000
0.840000,-0.1287133000,-0.2745131000,1.4056350000
0.860000,-0.0638775100,-0.1442132000,1.4105160000
0.880000,-0.0230249800,0.0685447300,1.3378250000
0.900000,-0.0797632500,0.2517049000,1.3322090000
0.920000,-0.2367952000,0.2020161000,1.4304050000
0.940000,-0.3851892000,-0.0804951000,1.5390350000
0.960000,-0.4668475000,-0.2928742000,1.4822730000
0.980000,-0.4762618000,-0.2854659000,1.2461510000
1.000000,-0.4852456000,-0.2475106000,0.9200620000
1.020000,-0.4960241000,-0.2113648000,0.6980474000
1.040000,-0.4140356000,-0.0102861700,0.7474377000
1.060000,-0.3777888000,0.0819649100,0.8441365000
1.080000,-0.4341149000,-0.1001095000,0.9286093000
1.100000,-0.4411016000,-0.2401985000,1.1423900000
1.120000,-0.4215601000,-0.3427061000,1.1857440000
1.140000,-0.3523246000,-0.3834976000,1.0145170000
1.160000,-0.2540953000,-0.2493620000,0.8858112000
1.180000,-0.2342572000,-0.1343012000,0.7653269000
1.200000,-0.2473427000,-0.0351095500,0.7179594000
1.220000,-0.2460660000,0.0093128830,0.7446420000
1.240000,-0.2381445000,-0.0326773800,0.7641084000
1.260000,-0.2447664000,-0.0091226990,0.8304191000
1.280000,-0.2454303000,0.0075212870,0.8595375000
1.300000,-0.2317515000,0.0469198500,0.8590927000
1.320000,-0.2237931000,0.1240322000,0.8816361000
1.340000,-0.1853641000,0.1253331000,0.8765298000
1.360000,-0.1615078000,0.0950653700,0.8643520000
1.380000,-0.1652897000,0.0498014300,0.8481703000
1.400000,-0.1659515000,0.0309835600,0.8667378000
1.420000,-0.2059507000,0.0423242300,0.9383403000
1.440000,-0.2686166000,0.0505376200,1.0273010000
1.460000,-0.3098682000,0.1018843000,1.1273190000
1.480000,-0.2807910000,0.1648830000,1.1862790000
1.500000,-0.1892137000,0.2002432000,1.2111680000
1.520000,-0.0756188600,0.1740314000,1.2232120000
1.540000,-0.0018171550,0.1148157000,1.2049420000
1.560000,-0.1034641000,0.0996988700,1.1841030000
1.580000,-0.2853867000,0.1008034000,1.1614220000
1.600000,-0.3975306000,0.0824520400,1.1516920000
1.620000,-0.4502231000,-0.0100449400,1.1742650000
1.640000,-0.4318662000,-0.1356309000,1.1798370000
1.660000,-0.4178076000,-0.2316032000,1.0961970000
1.680000,-0.3821403000,-0.3977826000,0.9284269000
1.700000,-0.2928351000,-0.4783262000,0.8418306000
1.720000,-0.2742030000,-0.3173326000,0.9319580000
1.740000,-0.2571687000,-0.1467294000,1.0685660000
1.760000,-0.2906999000,-0.0143673900,1.1697450000
1.780000,-0.4362494000,0.0818243700,1.2357110000
1.800000,-0.4610077000,0.0232601100,1.1925570000
1.820000,-0.3834870000,-0.0321299500,1.0704380000
1.840000,-0.2973735000,-0.0692724200,0.9434349000
1.860000,-0.1743152000,-0.1509263000,0.8087738000
1.880000,-0.1162584000,-0.1299782000,0.7575955000
1.900000,-0.1205338000,-0.0988668000,0.7606414000
1.920000,-0.1357589000,-0.0902530700,0.7437500000
1.940000,-0.1554517000,-0.0319832500,0.7619948000
1.960000,-0.1217637000,-0.0350780600,0.7463982000
1.980000,-0.0651426800,-0.0529266800,0.7275186000
2.000000,-0.0285085700,-0.0511124100,0.7492937000
2.020000,-0.0032118220,-0.0569258200,0.7393774000
2.040000,-0.0068777020,-0.0281573900,0.7648781000
2.060000,-0.0309016300,-0.0167138500,0.8172972000
2.080000,-0.0733429100,-0.0238941900,0.9181728000
2.100000,-0.1343790000,-0.0634808200,1.1134260000
2.120000,-0.1548732000,-0.1695933000,1.3000680000
2.140000,-0.1274195000,-0.2220798000,1.4265740000
2.160000,-0.0775162100,-0.0895401500,1.3828940000
2.180000,-0.0170681300,0.1406573000,1.2509840000
2.200000,-0.0506941400,0.1888013000,1.2658670000
2.220000,-0.2058018000,0.0018794420,1.3368980000
2.240000,-0.3889994000,-0.2591888000,1.3743760000
2.260000,-0.5274725000,-0.4375526000,1.3072630000
2.280000,-0.5314618000,-0.3854274000,1.0805530000
2.300000,-0.4828910000,-0.2008456000,0.8727934000
2.320000,-0.4637703000,-0.0300003100,0.7273419000
2.340000,-0.3852936000,0.0419494800,0.7021295000
2.360000,-0.3567712000,-0.0840924800,0.8428935000
2.380000,-0.3999436000,-0.2413681000,0.9569444000
2.400000,-0.3782246000,-0.3344231000,1.0192030000
2.420000,-0.3485347000,-0.3943360000,1.0127600000
2.440000,-0.3199455000,-0.3267120000,0.9571650000
2.460000,-0.2903240000,-0.1964221000,0.9166315000
2.480000,-0.2840372000,-0.0545184800,0.8037786000
2.500000,-0.2705260000,0.0191612900,0.7955023000
2.520000,-0.2719455000,-0.0317566500,0.8618252000
2.540000,-0.2438322000,0.0105033800,0.8119455000
2.560000,-0.2150702000,0.0407269600,0.8286298000
