seconds_elapsed,z,y,x
0.020000,0.1616639000,0.1035695000,0.0098831830
0.040000,0.2303836000,0.1336698000,-0.1221235000
0.060000,0.2913830000,0.1913950000,-0.1322708000
0.080000,0.4168093000,0.1645005000,-0.1242714000
0.100000,0.3978206000,0.1641412000,-0.1682552000
0.120000,0.3827114000,0.1632083000,-0.0975146400
0.140000,0.3131832000,0.0492296900,-0.0139469500
0.160000,0.1877492000,-0.1375164000,0.0491502700
0.180000,0.0354828900,-0.5004753000,0.0748015600
0.200000,-0.1974011000,-0.7656117000,0.0638711400
0.220000,-0.2939147000,-1.0243470000,0.3503294000
0.240000,-0.2775324000,-1.4761190000,0.5041923000
0.260000,-0.3285732000,-1.5282180000,-0.0449410100
0.280000,-0.4327770000,-1.1088550000,-0.5421179000
0.300000,-0.5090802000,-0.4795118000,-0.2375675000
0.320000,-0.5168367000,0.2492807000,0.0780250200
0.340000,-0.4562916000,0.5376596000,-0.1611627000
0.360000,-0.3002448000,0.4830783000,-0.1014492000
0.380000,-0.0743789000,0.6651533000,0.0685145000
0.400000,0.0548043500,0.9771322000,-0.1940802000
0.420000,0.0381122400,1.2438640000,-0.3276054000
0.440000,0.1706323000,1.1939010000,-0.4701345000
0.460000,0.3811606000,0.8609358000,-0.5949177000
0.480000,0.3345286000,0.8339119000,-0.5202908000
0.500000,0.2727419000,0.8399244000,-0.6181265000
0.520000,0.2472632000,0.6721634000,-0.5981397000
0.540000,0.0656438800,0.5168575000,-0.4856884000
0.560000,-0.0555627000,0.2573243000,-0.3598155000
0.580000,-0.0732415000,0.1570849000,-0.0494755600
0.600000,-0.0686333300,0.0167540400,0.1030294000
0.620000,-0.0026095500,-0.2847558000,0.1595000000
0.640000,0.0477315100,-0.4540072000,0.1702815000
0.660000,0.0717638300,-0.6887919000,0.1209342000
0.680000,0.0410529000,-0.7293793000,0.1332020000
0.700000,-0.1037945000,-0.4937019000,0.0209247100
0.720000,-0.2575280000,-0.2301053000,-0.1656756000
0.740000,-0.2959315000,-0.0004430480,-0.2419888000
0.760000,-0.1377017000,0.0537004900,0.1704682000
0.780000,0.0322201100,0.3638957000,0.6220241000
0.800000,0.0467683900,0.7694586000,0.0036967010
0.820000,0.2581174000,0.7993058000,-0.6046483000
0.840000,0.6217562000,0.9338766000,-0.1316066000
0.860000,0.5923032000,0.9580967000,0.2847377000
0.880000,0.2720609000,0.4824192000,0.2934691000
