seconds_elapsed,z,y,x
0.020000,-0.1572836000,-0.2638471000,-0.6957171000
0.040000,-0.0216794700,-0.3304912000,-0.2872319000
0.060000,-0.0263186000,-0.2680928000,0.3617062000
0.080000,-0.2581860000,-0.2284405000,0.7160958000
0.100000,-0.4431788000,-0.2151137000,0.6655267000
0.120000,-0.0895240700,-0.1294149000,0.5130110000
0.140000,0.3252181000,-0.0729600000,0.5596093000
0.160000,0.1218774000,-0.0087904990,0.6055550000
0.180000,0.0245578000,0.0838193400,0.5615403000
0.200000,0.1904088000,0.0023463830,0.4809409000
0.220000,0.1714412000,-0.1119693000,0.0650908900
0.240000,0.2538050000,-0.1371085000,-0.3038915000
0.260000,0.2720884000,-0.1049849000,-0.3911282000
0.280000,0.1291894000,0.0150484900,-0.5094243000
0.300000,0.1474678000,0.0231793200,-0.5351833000
0.320000,0.0945096900,-0.0234503400,-0.4982648000
0.340000,0.0448644800,0.0093466300,-0.4887214000
0.360000,0.1290306000,-0.0159408900,-0.4614144000
0.380000,0.0937131100,-0.0240994000,-0.4128452000
0.400000,0.1095363000,-0.0467773500,-0.3272583000
0.420000,0.0934730300,-0.1143690000,-0.2114045000
0.440000,-0.1390023000,-0.1000234000,0.0468480400
0.460000,-0.2969045000,-0.1286975000,0.2872107000
0.480000,-0.2370488000,-0.1843756000,0.2487353000
0.500000,-0.0124670000,-0.1648987000,0.1106222000
0.520000,0.1454980000,-0.1525379000,0.1174907000
0.540000,0.1518455000,-0.1522045000,0.1364615000
0.560000,0.1118329000,-0.1514499000,0.1300669000
0.580000,0.0204492500,-0.1566465000,0.2233722000
0.600000,-0.0971922500,-0.1528884000,0.1748321000
0.620000,-0.3079460000,-0.1327202000,0.0977475600
0.640000,-0.4187826000,-0.0888645500,0.1286640000
0.660000,-0.3656297000,0.0290043800,0.1240960000
0.680000,-0.4363890000,0.2968592000,0.4573015000
0.700000,-0.4529721000,0.4798145000,0.8241038000
0.720000,-0.3160033000,0.2468696000,0.5919111000
0.740000,-0.0432220000,-0.0055137680,0.1247855000
0.760000,0.3712335000,0.1794602000,-0.2441784000
0.780000,0.5450388000,0.3388255000,-0.4114248000
0.800000,0.4321881000,0.2500619000,-0.2375278000
