seconds_elapsed,z,y,x
0.020000,-0.2452409000,-0.4382028000,-0.2713482000
0.040000,-0.4915626000,-0.8662005000,-0.2731802000
0.060000,-0.5442945000,-1.0116770000,-0.4426331000
0.080000,-0.6541270000,-0.5266912000,-0.4602581000
0.100000,-0.7246020000,0.8048675000,-0.3686292000
0.120000,-0.5705944000,1.5700800000,-0.1582017000
0.140000,-0.3278019000,0.4109079000,0.0387553600
0.160000,-0.1404464000,-0.9140055000,0.0488263400
0.180000,0.0969832500,-0.3020231000,0.1920319000
0.200000,0.1242407000,0.0778681700,0.1697454000
0.220000,0.0446116000,-0.6225677000,0.0878645800
0.240000,0.2194235000,-0.4466144000,0.2648579000
0.260000,0.2698652000,-0.5553850000,0.2756012000
0.280000,0.2997327000,-0.8803924000,0.4002220000
0.300000,0.3307284000,-0.5162459000,0.4958346000
0.320000,0.0446353300,-0.7451076000,0.1629813000
0.340000,-0.1462748000,-0.7319466000,-0.0903948900
0.360000,-0.2748839000,-0.5547911000,-0.1949136000
0.380000,-0.3602803000,-0.9099308000,-0.1323544000
0.400000,-0.2558049000,-1.1088850000,0.0321187600
0.420000,-0.2769820000,-1.5071440000,0.1103820000
0.440000,-0.2706334000,-1.0691730000,0.2742805000
0.460000,-0.2783428000,0.0979605800,0.3520732000
0.480000,-0.4057383000,0.2896580000,0.3503913000
0.500000,-0.4356552000,-0.0789099000,0.3182224000
0.520000,-0.4565322000,-0.5907119000,0.2051585000
0.540000,-0.4497255000,-0.7017888000,0.2042011000
0.560000,-0.4512099000,-0.4077825000,0.3515763000
0.580000,-0.3859265000,-0.4166988000,0.6332811000
0.600000,-0.1741742000,-0.2576293000,0.6853974000
0.620000,-0.1034869000,0.2040879000,0.5493085000
0.640000,-0.1166253000,0.8891850000,0.6597460000
0.660000,-0.0734454000,1.2400360000,0.8271257000
0.680000,0.0904336600,1.1597070000,0.8996001000
0.700000,0.1767468000,1.9085130000,0.4233020000
0.720000,-0.3473832000,2.9286950000,-0.3869569000
0.740000,-0.8622729000,2.9884160000,-0.4381944000
0.760000,-0.3873882000,1.4913090000,-0.1968761000
0.780000,0.3259512000,-1.4112270000,-0.1356013000
0.800000,0.3537013000,-3.2893080000,0.1210461000
0.820000,0.1350369000,-2.6747760000,0.1784180000
0.840000,0.0169683400,-0.4197076000,0.1036167000
0.860000,0.0439185900,1.3780550000,0.2019187000
0.880000,0.2407824000,0.4161219000,0.0994935300
0.900000,0.3444103000,-1.0464720000,-0.0150957000
0.920000,0.4428133000,-0.3127318000,-0.0508162700
0.940000,0.4307367000,0.1359271000,-0.2662688000
0.960000,0.3192642000,-0.0184312100,-0.3084582000
0.980000,0.4421499000,0.2758490000,-0.2309617000
1.000000,0.4630684000,-0.1877576000,-0.2686836000
1.020000,0.4624850000,-0.0664991700,-0.2431292000
1.040000,0.5154939000,0.4821753000,-0.2710187000
1.060000,0.4195212000,0.3775105000,-0.3416989000
1.080000,0.5185221000,0.7469990000,-0.3908683000
1.100000,0.6013575000,0.4187991000,-0.4632532000
1.120000,0.6013186000,0.0885158800,-0.5473858000
1.140000,0.7162752000,0.8851921000,-0.8163134000
1.160000,0.7368055000,1.0457580000,-0.9963147000
1.180000,0.7839151000,0.6469037000,-0.7526125000
1.200000,0.7755703000,0.0133375500,-0.4521118000
1.220000,0.5879030000,-0.2254044000,-0.3496477000
1.240000,0.3678309000,0.0666664700,-0.3241411000
1.260000,0.2671317000,-0.0200256900,-0.3895028000
1.280000,0.3616516000,0.1503444000,-0.4643390000
1.300000,0.4017182000,0.0789382400,-0.2904354000
1.320000,0.4301137000,-0.4160667000,-0.1412508000
1.340000,0.3020449000,-0.9466246000,-0.3432349000
1.360000,-0.2140600000,-1.4157750000,-0.6468649000
1.380000,-0.5300114000,-0.3649716000,-0.9676168000
1.400000,-0.4327027000,0.7855390000,-1.1579540000
1.420000,-0.3321414000,0.2560998000,-1.0556220000
1.440000,-0.4329153000,-0.0786936300,-1.1609130000
1.460000,-0.4067740000,0.1619922000,-1.3319850000
1.480000,-0.0112862700,-0.0278569100,-1.1021690000
1.500000,0.2823890000,-0.1298511000,-1.0058130000
1.520000,0.3918565000,-0.0502940800,-0.8883117000
1.540000,0.5781203000,0.0802406700,-0.5760890000
1.560000,0.7881805000,0.4714671000,-0.7613204000
1.580000,0.9023316000,0.3268864000,-0.8948011000
1.600000,0.8710775000,-0.0903962500,-0.8121056000
1.620000,0.7046446000,-0.1164750000,-0.9449547000
1.640000,0.2612279000,-0.2965165000,-0.6611588000
1.660000,-0.1147520000,-0.0588461700,-0.2427970000
1.680000,-0.1538220000,0.4086353000,-0.1148166000
1.700000,-0.2246799000,0.3467301000,0.0391731000
1.720000,-0.2869702000,0.3280893000,0.1490137000
1.740000,-0.3644284000,0.2198796000,0.2107269000
1.760000,-0.4358202000,0.0149893800,0.1608834000
1.780000,-0.3431212000,-0.2221055000,0.1334138000
1.800000,-0.4067099000,-0.4093212000,0.1987659000
1.820000,-0.7304069000,-0.0250569600,0.1379864000
1.840000,-1.0254940000,0.1867324000,0.0954091400
1.860000,-0.8046126000,0.0326047600,0.0313341100
1.880000,-0.3655956000,0.0757743000,0.0036573090
1.900000,-0.4136165000,0.3748428000,0.0252950700
1.920000,-0.5616265000,1.3095140000,-0.0971256400
1.940000,-0.6154685000,2.0119810000,-0.1071687000
1.960000,-0.6509812000,0.9551228000,-0.0654460200
1.980000,-0.5856957000,-0.6475144000,-0.0787599600
2.000000,-0.6361791000,-0.8403563000,0.0329530900
2.020000,-0.5020567000,-0.6920937000,0.1168721000
2.040000,-0.2602901000,-0.9458041000,0.1082559000
2.060000,-0.2920606000,-0.7975098000,0.1403436000
2.080000,-0.2381929000,-1.0261390000,0.3644352000
2.100000,-0.1242362000,-1.1735520000,0.7030696000
