seconds_elapsed,z,y,x
0.020000,-0.0504636200,0.0689206200,0.3062699000
0.040000,-0.0938140800,0.0375017100,0.2368011000
0.060000,-0.0933580500,-0.0937592500,0.2427812000
0.080000,-0.0778448500,-0.2115356000,0.3638491000
0.100000,-0.0534661500,-0.2521927000,0.7048392000
0.120000,-0.0765037400,-0.1659638000,0.8687214000
0.140000,-0.1310723000,-0.1244347000,0.8384673000
0.160000,-0.1554204000,-0.1399303000,0.8952642000
0.180000,-0.1387476000,-0.2007333000,1.0343630000
0.200000,-0.0914499000,-0.3346949000,1.0940280000
0.220000,-0.0779518800,-0.3273481000,1.0699920000
0.240000,-0.0827379200,-0.2676873000,1.0775010000
0.260000,-0.0750751900,-0.3053017000,1.0410690000
0.280000,-0.0712365100,-0.3519670000,1.0739430000
0.300000,-0.0429621100,-0.4280327000,1.1997140000
0.320000,-0.0729865100,-0.3973073000,1.2123350000
0.340000,-0.2886881000,-0.1901130000,1.2091420000
0.360000,-0.5678678000,-0.0322438300,1.2060920000
0.380000,-0.6548598000,-0.0400905200,1.2051690000
0.400000,-0.7368858000,-0.0614517300,1.3272050000
0.420000,-1.0737010000,0.1308330000,1.6468290000
0.440000,-1.1545820000,0.2889266000,1.9451760000
0.460000,-0.6986440000,0.1341279000,1.5554560000
0.480000,-0.1644614000,0.0197297100,0.8059295000
0.500000,0.1403623000,0.1241659000,0.5790738000
0.520000,0.1847966000,0.2558828000,0.5423555000
0.540000,0.3153957000,0.3291368000,0.3983650000
0.560000,0.4428440000,0.1921158000,0.5410094000
0.580000,0.0318879900,-0.1166149000,0.9770424000
0.600000,-0.3922867000,-0.2025618000,1.3184600000
0.620000,-0.4060751000,-0.0319385200,1.3497690000
0.640000,-0.2229998000,0.0952602500,1.1237670000
0.660000,0.0740996200,0.1525210000,0.8181873000
0.680000,0.1044360000,0.1651767000,0.7550282000
0.700000,-0.0295566300,0.1151176000,0.8766577000
0.720000,-0.0939453200,0.0762404100,0.9363863000
0.740000,-0.2154880000,0.0678034700,1.0589920000
0.760000,-0.1783661000,0.0627190100,1.0882990000
0.780000,-0.1272437000,0.0142046900,0.9623264000
0.800000,-0.1442207000,-0.0058041570,0.9071974000
0.820000,-0.0439123000,0.0657795900,0.8368436000
0.840000,0.0017002150,0.1135548000,0.8154129000
0.860000,0.0017278670,0.0834295700,0.9102086000
0.880000,-0.0734606300,0.0053415390,1.0387630000
0.900000,-0.1747164000,-0.0343942200,1.1423840000
0.920000,-0.0753800800,0.0015461170,1.0428910000
0.940000,0.0420146400,0.0188746400,0.8845194000
0.960000,0.0449673100,-0.0532842200,0.8789930000
0.980000,0.0179941900,-0.1131613000,0.9303683000
