seconds_elapsed,z,y,x
0.020000,0.0534577900,0.2063728000,-0.4006758000
0.040000,0.0680800400,0.2271108000,-0.3831868000
0.060000,0.0372598500,0.2796354000,-0.3314547000
0.080000,0.0036143080,0.3226117000,-0.2323725000
0.100000,-0.0038425970,0.3433289000,-0.1350013000
0.120000,-0.0355636200,0.3232335000,-0.0120809300
0.140000,-0.0869259300,0.2920287000,0.2141410000
0.160000,-0.1039326000,0.2675446000,0.2854947000
0.180000,-0.0772779700,0.1510680000,0.2526236000
0.200000,-0.0639435500,-0.0700643200,0.4738581000
0.220000,-0.0535009100,-0.2308830000,0.6217397000
0.240000,-0.0719901400,-0.1513139000,0.5454696000
0.260000,-0.1668297000,-0.0659323200,0.5633806000
0.280000,-0.2657573000,-0.1546204000,0.5455911000
0.300000,-0.3353349000,-0.1334063000,0.4381631000
0.320000,-0.3303996000,-0.0849460300,0.3880159000
0.340000,-0.2131456000,-0.1219515000,0.2492748000
0.360000,-0.0674226600,-0.0979143200,0.0256259400
0.380000,0.0367113000,-0.1375335000,-0.0650428900
0.400000,0.0798324000,-0.1642229000,-0.0373562900
0.420000,0.0830593700,-0.0993751600,0.0283023300
0.440000,0.0186115800,-0.0574318300,0.1353948000
0.460000,-0.0887114800,0.0147212500,0.1743780000
0.480000,-0.0906670700,0.0347227700,0.1063448000
0.500000,-0.0310982000,0.0114223900,0.0174639600
0.520000,0.0055154870,0.0340602200,-0.1008827000
0.540000,0.0441954400,0.0467043400,-0.2339510000
0.560000,0.0630181800,0.0909418100,-0.3509103000
0.580000,0.0860153300,0.1419468000,-0.4732412000
0.600000,0.1050724000,0.1764143000,-0.5660024000
0.620000,0.1041132000,0.2029855000,-0.6061299000
0.640000,0.1346809000,0.1829421000,-0.5900065000
0.660000,0.1704696000,0.1470568000,-0.4778433000
0.680000,0.1793287000,0.0781968800,-0.3181617000
0.700000,0.1610685000,-0.0136194500,-0.1994271000
0.720000,0.1477242000,-0.1096418000,-0.0604940100
0.740000,0.1805753000,-0.1764938000,0.1524283000
0.760000,0.1759999000,-0.1460255000,0.3388465000
0.780000,0.0472541800,-0.1726689000,0.4397166000
0.800000,-0.0950707300,-0.3375091000,0.5081829000
0.820000,-0.0827218500,-0.4569137000,0.5522897000
0.840000,-0.0258999800,-0.4037750000,0.4125519000
0.860000,-0.0520355200,-0.2485313000,0.1000036000
0.880000,-0.0383381800,-0.1642455000,-0.0181391800
0.900000,-0.0606073900,-0.1510849000,0.0598726500
0.920000,-0.1467343000,-0.1478406000,0.0552089400
0.940000,-0.1098820000,-0.1776722000,0.0444954300
0.960000,-0.0766856100,-0.1960805000,0.0310763900
0.980000,-0.0867016400,-0.1753213000,-0.0722617500
1.000000,-0.0457589500,-0.1063859000,-0.1666702000
1.020000,-0.0631720300,-0.0247789300,-0.2078530000
1.040000,-0.0751289200,0.0205601800,-0.1996798000
1.060000,-0.0526026400,0.0443606900,-0.1947327000
1.080000,-0.0585691000,0.0246742700,-0.2189100000
1.100000,-0.0253580800,0.0183614900,-0.2636416000
1.120000,-0.0023251510,0.0429017600,-0.3596487000
1.140000,0.0060356970,0.0716441200,-0.4175237000
1.160000,0.0369082900,0.1741762000,-0.4067809000
1.180000,0.0355512100,0.2703949000,-0.3959856000
1.200000,0.0133683000,0.2829069000,-0.3436440000
1.220000,-0.0379328800,0.2810127000,-0.2140522000
1.240000,-0.0828015500,0.2798090000,-0.0760303100
1.260000,-0.0637476000,0.2459993000,0.0101398500
1.280000,-0.0387387300,0.2052472000,0.1100859000
1.300000,-0.0240086700,0.1861630000,0.2255857000
1.320000,-0.0078507870,0.1098767000,0.2839704000
1.340000,-0.0045022930,-0.0098729540,0.3622222000
1.360000,-0.0338407900,-0.0674211600,0.4459449000
1.380000,-0.1356529000,-0.0676604900,0.4435649000
1.400000,-0.2461295000,-0.0908285700,0.4009442000
1.420000,-0.2553497000,-0.2006828000,0.3097350000
1.440000,-0.2143214000,-0.3015039000,0.1869567000
1.460000,-0.1954535000,-0.3122550000,0.1133095000
