seconds_elapsed,z,y,x
0.020000,-0.4171642000,0.7214809000,0.5495111000
0.040000,-0.2220915000,0.7108450000,0.2488171000
0.060000,-0.0714788900,0.8323864000,0.0399445400
0.080000,-0.0412545600,1.0873820000,-0.0542018400
0.100000,0.0200777600,1.1494640000,-0.0290455000
0.120000,-0.0059122360,1.0489760000,0.0983606900
0.140000,-0.1285632000,1.0230790000,0.3872468000
0.160000,-0.1733055000,0.9402256000,0.7386688000
0.180000,-0.1584173000,0.7977158000,0.7035266000
0.200000,-0.0790809900,0.6694285000,0.4868764000
0.220000,-0.0258553500,0.5800534000,0.4277616000
0.240000,-0.0424146700,0.5711810000,0.3235105000
0.260000,-0.0594778800,0.5029858000,0.3813200000
0.280000,-0.1175382000,0.2965555000,0.5703624000
0.300000,-0.1814467000,-0.0729839900,0.6092462000
0.320000,-0.2403679000,-0.3307524000,0.7895315000
0.340000,-0.2391668000,-0.1997342000,0.9765531000
0.360000,-0.1751486000,-0.1960617000,0.9608049000
0.380000,-0.1406039000,-0.4318330000,0.9523702000
0.400000,0.0190948300,-0.4770968000,0.8910604000
0.420000,0.2286436000,-0.5287784000,0.8420465000
0.440000,0.3250375000,-0.7392790000,0.8466219000
0.460000,0.4196764000,-0.9988022000,0.8149902000
0.480000,0.4567221000,-1.1386590000,0.8097665000
0.500000,0.4130395000,-0.9854438000,0.7379810000
0.520000,0.3274681000,-0.7418558000,0.6541373000
0.540000,0.2007081000,-0.5967672000,0.6156421000
0.560000,0.1757621000,-0.8325520000,0.5152068000
0.580000,0.2497014000,-1.3699300000,0.4171482000
0.600000,0.2735343000,-1.4588880000,0.3447471000
0.620000,0.1852320000,-1.1116970000,0.3323405000
0.640000,0.0150737000,-0.8503915000,0.4120754000
0.660000,-0.1613496000,-0.9270963000,0.5303693000
0.680000,-0.2785649000,-1.2920530000,0.6542652000
0.700000,-0.3202004000,-1.5926040000,0.7235252000
0.720000,-0.3364142000,-1.6926250000,0.7588258000
0.740000,-0.3199591000,-1.4331710000,0.7536750000
0.760000,-0.2752600000,-0.9689533000,0.6508989000
0.780000,-0.2508289000,-0.6196531000,0.4685220000
0.800000,-0.2162374000,-0.3870883000,0.2759314000
0.820000,-0.2119456000,-0.6236322000,0.2281088000
0.840000,-0.2222373000,-0.9373249000,0.3575246000
0.860000,-0.1475286000,-0.8339811000,0.5553159000
0.880000,-0.0754791900,-0.8353914000,0.7563960000
0.900000,-0.0491833200,-0.7677568000,0.8760046000
0.920000,-0.0068008680,-0.4490081000,0.8574698000
0.940000,0.0279306900,-0.1979080000,0.6731108000
0.960000,0.0276005700,-0.0432724400,0.3474915000
0.980000,-0.0171778800,-0.0696266600,0.1153634000
1.000000,-0.0569529600,-0.0792673300,0.0988924200
1.020000,-0.0439719200,0.0170278000,0.1272895000
1.040000,-0.0293870100,0.1055470000,0.1314255000
1.060000,-0.0260350600,0.1475011000,0.1353511000
1.080000,-0.0107100300,-0.1664032000,0.1295055000
1.100000,-0.0146108500,-0.5360230000,0.1541523000
1.120000,-0.0729145700,-0.4668640000,0.2059079000
1.140000,-0.1094327000,-0.3134963000,0.2413578000
1.160000,-0.0122042000,-0.1924156000,0.2354057000
1.180000,0.0850881600,0.1725648000,0.2749590000
1.200000,-0.0226576200,0.4082140000,0.4658110000
1.220000,-0.2431332000,0.3298772000,0.7218505000
1.240000,-0.4336700000,0.5553917000,0.8969790000
1.260000,-0.5666114000,0.9951457000,0.8820357000
1.280000,-0.5791124000,1.0605210000,0.7676454000
1.300000,-0.5192364000,0.8962332000,0.6056004000
1.320000,-0.4275074000,0.7444006000,0.2562125000
1.340000,-0.2478620000,0.7028052000,0.0306102600
1.360000,-0.0672425200,0.8943160000,0.0796324600
1.380000,0.0446014600,1.1847050000,0.0753852100
1.400000,0.0705558400,1.3244000000,0.1110990000
1.420000,0.0372823700,1.2656060000,0.2100581000
1.440000,0.0392009600,1.1287210000,0.2605090000
1.460000,0.0282729500,0.8809735000,0.3271745000
1.480000,0.0113303400,0.6077150000,0.2958186000
1.500000,0.0312358200,0.5067053000,0.2434633000
1.520000,0.0314068600,0.4390483000,0.1942510000
1.540000,0.0434332500,0.3605284000,0.1250210000
1.560000,0.0445187200,0.3829795000,0.1962464000
1.580000,-0.0177393700,0.3781162000,0.2629468000
1.600000,-0.1159262000,0.1914846000,0.3638491000
1.620000,-0.2142472000,-0.0511787900,0.5324662000
1.640000,-0.2010771000,-0.0743383200,0.5400150000
1.660000,-0.0683323200,0.0863296900,0.4750690000
1.680000,0.0656025600,0.1267163000,0.3516593000
1.700000,0.2166567000,-0.1426391000,0.2126245000
1.720000,0.3925644000,-0.5881057000,0.2289922000
1.740000,0.4401269000,-0.7713246000,0.3659173000
1.760000,0.2424453000,-0.6048822000,0.5815170000
1.780000,0.0283380800,-0.5682505000,0.6832123000
1.800000,0.1116105000,-0.8784949000,0.5200090000
1.820000,0.2405260000,-1.2675010000,0.2673885000
1.840000,0.1994284000,-1.4494200000,0.1317037000
1.860000,0.1498081000,-1.3172560000,0.1601311000
1.880000,-0.0552379600,-1.0883490000,0.2479637000
1.900000,-0.3283761000,-0.9601126000,0.3154906000
1.920000,-0.4100552000,-0.8995718000,0.3327416000
1.940000,-0.4374125000,-0.9778774000,0.2500155000
1.960000,-0.3853109000,-1.0411430000,0.1268236000
1.980000,-0.2778213000,-1.0392970000,0.1004491000
2.000000,-0.2022122000,-1.1864120000,0.1350496000
2.020000,-0.1574789000,-1.1848460000,0.1597074000
2.040000,-0.2406605000,-0.8937953000,0.2333976000
2.060000,-0.2684846000,-0.5570726000,0.2739646000
2.080000,-0.2044298000,-0.3990005000,0.2282862000
2.100000,-0.1828122000,-0.5417856000,0.2111574000
2.120000,-0.1130294000,-0.6432519000,0.2295270000
2.140000,-0.0318995300,-0.6726818000,0.2769223000
2.160000,0.0099836620,-0.7102546000,0.3798538000
2.180000,-0.0219473800,-0.5171371000,0.4568741000
2.200000,-0.0758071500,-0.2898826000,0.4223414000
2.220000,-0.0582421300,-0.1021715000,0.3239414000
2.240000,-0.0479996400,-0.0205087200,0.2052510000
