seconds_elapsed,z,y,x
0.020000,-0.1380386000,-0.3606397000,1.2750360000
0.040000,-0.1458848000,-0.4986768000,1.1990440000
0.060000,-0.1273902000,-0.5629921000,0.9316405000
0.080000,-0.0474656200,-0.4748440000,0.9039526000
0.100000,0.0305368500,-0.4300593000,0.9604525000
0.120000,0.0036759980,-0.3607783000,0.8304753000
0.140000,-0.0704158500,-0.3022389000,0.8946413000
0.160000,-0.0815224000,-0.3338055000,0.7862602000
0.180000,-0.0705580700,-0.2909629000,0.5983710000
0.200000,-0.0610957800,-0.2437464000,0.7255091000
0.220000,-0.0484361200,-0.2175079000,0.6968230000
0.240000,0.0152910900,-0.1601365000,0.5618314000
0.260000,0.2179560000,-0.1931472000,0.4974199000
0.280000,0.3545396000,-0.2376521000,0.4797281000
0.300000,0.2485695000,-0.2110370000,0.5986510000
0.320000,0.1759715000,-0.2353307000,0.6786552000
0.340000,0.2949968000,-0.3342934000,0.8099062000
0.360000,0.3885630000,-0.4172056000,0.9747614000
0.380000,0.4000200000,-0.4012331000,0.9968667000
0.400000,0.4310332000,-0.3125081000,1.0128440000
0.420000,0.4355314000,-0.2546016000,1.0444950000
0.440000,0.3831019000,-0.2842379000,1.0903320000
0.460000,0.2195448000,-0.5435526000,1.1693350000
0.480000,0.0052813360,-0.9982843000,1.4217650000
0.500000,0.0214114200,-1.1455820000,1.7042540000
0.520000,0.0991621600,-0.8093896000,1.3813380000
0.540000,0.0125455700,-0.4470455000,0.7166571000
0.560000,-0.0128690400,-0.3562357000,0.4971041000
0.580000,-0.0572943100,-0.4565872000,0.7957811000
0.600000,-0.1788954000,-0.5549095000,1.2111960000
0.620000,-0.1171695000,-0.5411022000,1.2518940000
0.640000,0.0185689100,-0.4309914000,1.0149700000
0.660000,0.0918835900,-0.2419981000,0.8452502000
0.680000,0.1093047000,-0.0714962700,0.6939940000
0.700000,0.0055358320,-0.0203917900,0.6509810000
0.720000,-0.0855603700,-0.0674539100,0.7310496000
