activity,precision,recall,f1,support
soup,0.0,0.0,0.0,46.0
chips,0.0,0.0,0.0,43.0
drinking,0.0967741935483871,0.06666666666666667,0.07894736842105263,45.0
typing,0.08333333333333333,0.15217391304347827,0.1076923076923077,46.0
clapping,0.09615384615384616,0.1282051282051282,0.10989010989010989,39.0
teeth,0.14,0.1590909090909091,0.14893617021276595,44.0
writing,1.0,0.1,0.18181818181818182,40.0
sitting,0.12686567164179105,0.3695652173913043,0.18888888888888888,46.0
catch,0.2857142857142857,0.19047619047619047,0.22857142857142856,42.0
dribbling,0.75,0.14634146341463414,0.24489795918367346,41.0
pasta,0.18604651162790697,0.36363636363636365,0.24615384615384617,44.0
sandwich,0.6842105263157895,0.3023255813953488,0.41935483870967744,43.0
standing,0.7096774193548387,0.5,0.5866666666666667,44.0
kicking,0.46987951807228917,0.8863636363636364,0.6141732283464567,44.0
stairs,0.5555555555555556,0.7954545454545454,0.6542056074766355,44.0
jogging,0.6111111111111112,0.9565217391304348,0.7457627118644068,46.0
walking,0.9431818181818182,0.6287878787878788,0.7545454545454545,132.0
folding,0.9655172413793104,0.7368421052631579,0.835820895522388,38.0
