feature,sensor,axis,family,normalized_importance
gyro_Z0,gyro,z,raw_sample_bins,0.01777488924562931
accel_YABSOLDEV,accel,y,absolute_deviation,0.015895504504442215
gyro_RESULTANT,gyro,unknown,other,0.014700453728437424
accel_RESULTANT,accel,unknown,other,0.0143364192917943
accel_YPEAK,accel,y,peak,0.013699132949113846
gyro_YABSOLDEV,gyro,y,absolute_deviation,0.013028742745518684
gyro_ZABSOLDEV,gyro,z,absolute_deviation,0.012935820035636425
accel_X5,accel,x,raw_sample_bins,0.012636419385671616
gyro_XABSOLDEV,gyro,x,absolute_deviation,0.012527404353022575
gyro_ZPEAK,gyro,z,peak,0.01088385283946991
accel_YVAR,accel,y,variance,0.010749476961791515
accel_Y5,accel,y,raw_sample_bins,0.00999078806489706
accel_X4,accel,x,raw_sample_bins,0.009841197170317173
accel_XPEAK,accel,x,peak,0.009747525677084923
accel_YSTANDDEV,accel,y,standard_deviation,0.009661778807640076
accel_XVAR,accel,x,variance,0.009419656358659267
accel_ZSTANDDEV,accel,z,standard_deviation,0.009002713486552238
accel_Z1,accel,z,raw_sample_bins,0.008981551975011826
accel_X2,accel,x,raw_sample_bins,0.008960166946053505
gyro_XPEAK,gyro,x,peak,0.008910694159567356
accel_XABSOLDEV,accel,x,absolute_deviation,0.008809969760477543
accel_XYCOS,accel,x,other,0.00877421721816063
accel_YAVG,accel,y,mean,0.008724674582481384
accel_X1,accel,x,raw_sample_bins,0.008614029735326767
gyro_X4,gyro,x,raw_sample_bins,0.008528806269168854
accel_ZVAR,accel,z,variance,0.00850678887218237
accel_XZCOS,accel,x,other,0.008428073488175869
accel_ZAVG,accel,z,mean,0.00839170441031456
accel_Z3,accel,z,raw_sample_bins,0.008305205963551998
accel_YZCOS,accel,y,other,0.008170053362846375
accel_Z2,accel,z,raw_sample_bins,0.008136806078255177
gyro_YPEAK,gyro,y,peak,0.00798386987298727
accel_ZPEAK,accel,z,peak,0.007936338894069195
accel_Y1,accel,y,raw_sample_bins,0.007531761657446623
accel_Z5,accel,z,raw_sample_bins,0.00727531174197793
accel_XAVG,accel,x,mean,0.007238594349473715
accel_ZABSOLDEV,accel,z,absolute_deviation,0.007226957008242607
accel_Y3,accel,y,raw_sample_bins,0.007170120254158974
accel_X7,accel,x,raw_sample_bins,0.007121190894395113
accel_XSTANDDEV,accel,x,standard_deviation,0.007058608811348677
accel_X9,accel,x,raw_sample_bins,0.006909046322107315
accel_Z0,accel,z,raw_sample_bins,0.006891882978379726
accel_X3,accel,x,raw_sample_bins,0.00688045984134078
gyro_XZCOS,gyro,x,other,0.006849108263850212
gyro_ZVAR,gyro,z,variance,0.006816373206675053
gyro_Y0,gyro,y,raw_sample_bins,0.006711952853947878
accel_Y2,accel,y,raw_sample_bins,0.006567155476659536
accel_Y0,accel,y,raw_sample_bins,0.006537094246596098
gyro_X0,gyro,x,raw_sample_bins,0.0064320750534534454
accel_Y4,accel,y,raw_sample_bins,0.006359024904668331
gyro_X3,gyro,x,raw_sample_bins,0.006350605748593807
gyro_ZAVG,gyro,z,mean,0.006252675782889128
gyro_Y3,gyro,y,raw_sample_bins,0.0060220700688660145
accel_Z4,accel,z,raw_sample_bins,0.005951957311481237
accel_Y7,accel,y,raw_sample_bins,0.005933907348662615
gyro_XZCOR,gyro,x,other,0.005894878413528204
gyro_Z2,gyro,z,raw_sample_bins,0.005863270256668329
accel_Y9,accel,y,raw_sample_bins,0.00585884740576148
accel_Y6,accel,y,raw_sample_bins,0.005825132131576538
gyro_YAVG,gyro,y,mean,0.005750678479671478
gyro_Z1,gyro,z,raw_sample_bins,0.005716892424970865
accel_XMFCC10,accel,x,mfcc_frequency,0.005671111401170492
gyro_YMFCC1,gyro,y,mfcc_frequency,0.005664387717843056
gyro_XYCOR,gyro,x,other,0.005662354175001383
gyro_YVAR,gyro,y,variance,0.005620389245450497
accel_Z9,accel,z,raw_sample_bins,0.005600555334240198
gyro_Z3,gyro,z,raw_sample_bins,0.0055231512524187565
accel_X6,accel,x,raw_sample_bins,0.005510889925062656
gyro_YZCOR,gyro,y,other,0.0054581076838076115
gyro_XVAR,gyro,x,variance,0.005433083511888981
accel_XYCOR,accel,x,other,0.005383248906582594
accel_X0,accel,x,raw_sample_bins,0.005328812636435032
accel_XZCOR,accel,x,other,0.0052922447212040424
gyro_ZSTANDDEV,gyro,z,standard_deviation,0.005247165914624929
accel_X8,accel,x,raw_sample_bins,0.005169117823243141
accel_YMFCC0,accel,y,mfcc_frequency,0.005142368376255035
gyro_YMFCC10,gyro,y,mfcc_frequency,0.005094101652503014
gyro_X1,gyro,x,raw_sample_bins,0.004979963414371014
accel_YZCOR,accel,y,other,0.004848867654800415
gyro_ZMFCC6,gyro,z,mfcc_frequency,0.0048240371979773045
accel_Z7,accel,z,raw_sample_bins,0.004807001911103725
gyro_XSTANDDEV,gyro,x,standard_deviation,0.004790959879755974
gyro_YMFCC7,gyro,y,mfcc_frequency,0.004765074234455824
gyro_Z5,gyro,z,raw_sample_bins,0.004749724175781012
gyro_YMFCC0,gyro,y,mfcc_frequency,0.004735945723950863
accel_XMFCC6,accel,x,mfcc_frequency,0.004713135305792093
gyro_Y2,gyro,y,raw_sample_bins,0.004690659698098898
gyro_X2,gyro,x,raw_sample_bins,0.004643456544727087
accel_XMFCC8,accel,x,mfcc_frequency,0.004518859088420868
gyro_XYCOS,gyro,x,other,0.004502767231315374
gyro_YMFCC12,gyro,y,mfcc_frequency,0.004434381145983934
gyro_YMFCC2,gyro,y,mfcc_frequency,0.004428680054843426
accel_YMFCC8,accel,y,mfcc_frequency,0.00442532729357481
accel_Z6,accel,z,raw_sample_bins,0.004424424842000008
gyro_XMFCC8,gyro,x,mfcc_frequency,0.0043632872402668
gyro_YZCOS,gyro,y,other,0.004362661391496658
