sensor,axis,family,normalized_importance
accel,x,raw_sample_bins,0.0769713306799531
accel,y,raw_sample_bins,0.064969816012308
accel,z,raw_sample_bins,0.06384448637254536
gyro,y,mfcc_frequency,0.05582614638842642
gyro,z,raw_sample_bins,0.05366415926255286
accel,x,mfcc_frequency,0.052385031478479505
accel,y,mfcc_frequency,0.04963348479941487
gyro,z,mfcc_frequency,0.046783277997747064
gyro,x,mfcc_frequency,0.04608879704028368
gyro,x,raw_sample_bins,0.04441214259713888
accel,z,mfcc_frequency,0.043560801073908806
gyro,y,raw_sample_bins,0.042952482122927904
accel,x,other,0.027877784334123135
gyro,x,other,0.022909108083695173
accel,y,absolute_deviation,0.015895504504442215
gyro,unknown,other,0.014700453728437424
accel,unknown,other,0.0143364192917943
accel,y,peak,0.013699132949113846
gyro,y,absolute_deviation,0.013028742745518684
accel,y,other,0.01301892101764679
gyro,z,absolute_deviation,0.012935820035636425
gyro,x,absolute_deviation,0.012527404353022575
gyro,z,peak,0.01088385283946991
accel,y,variance,0.010749476961791515
gyro,y,other,0.00982076907530427
accel,x,peak,0.009747525677084923
accel,y,standard_deviation,0.009661778807640076
accel,x,variance,0.009419656358659267
accel,z,standard_deviation,0.009002713486552238
gyro,x,peak,0.008910694159567356
accel,x,absolute_deviation,0.008809969760477543
accel,y,mean,0.008724674582481384
accel,z,variance,0.00850678887218237
accel,z,mean,0.00839170441031456
gyro,y,peak,0.00798386987298727
accel,z,peak,0.007936338894069195
accel,x,mean,0.007238594349473715
accel,z,absolute_deviation,0.007226957008242607
accel,x,standard_deviation,0.007058608811348677
gyro,z,variance,0.006816373206675053
gyro,z,mean,0.006252675782889128
gyro,y,mean,0.005750678479671478
gyro,y,variance,0.005620389245450497
gyro,x,variance,0.005433083511888981
gyro,z,standard_deviation,0.005247165914624929
gyro,x,standard_deviation,0.004790959879755974
gyro,x,mean,0.004045969340950251
gyro,y,standard_deviation,0.0039475541561841965
