activity,precision,recall,f1,support
soup,0.0,0.0,0.0,46
chips,0.0,0.0,0.0,43
drinking,0.1053,0.0444,0.0625,45
typing,0.0759,0.1304,0.096,46
clapping,0.1,0.1282,0.1124,39
dribbling,0.6,0.0732,0.1304,41
teeth,0.18,0.2045,0.1915,44
sitting,0.1277,0.3913,0.1925,46
writing,0.5556,0.125,0.2041,40
catch,0.25,0.1905,0.2162,42
pasta,0.2198,0.4545,0.2963,44
sandwich,0.625,0.3488,0.4478,43
standing,0.6562,0.4773,0.5526,44
kicking,0.4578,0.8636,0.5984,44
stairs,0.5455,0.8182,0.6545,44
walking,0.9474,0.5455,0.6923,132
jogging,0.557,0.9565,0.704,46
folding,0.963,0.6842,0.8,38
