activity,precision,recall,f1,support
writing,0.0,0.0,0.0,40.0
teeth,0.2549019607843137,0.29545454545454547,0.2736842105263158,44.0
sitting,0.21904761904761905,0.5,0.304635761589404,46.0
sandwich,0.9,0.20930232558139536,0.33962264150943394,43.0
catch,0.5789473684210527,0.2619047619047619,0.36065573770491804,42.0
pasta,0.40384615384615385,0.4772727272727273,0.4375,44.0
stairs,0.6065573770491803,0.8409090909090909,0.7047619047619048,44.0
jogging,0.5942028985507246,0.8913043478260869,0.7130434782608696,46.0
kicking,0.609375,0.8863636363636364,0.7222222222222222,44.0
standing,0.8717948717948718,0.7727272727272727,0.8192771084337349,44.0
walking,0.96,0.7272727272727273,0.8275862068965517,132.0
folding,0.9714285714285714,0.8947368421052632,0.9315068493150684,38.0
