feature,sensor,axis,family,normalized_importance
gyro_YABSOLDEV,gyro,y,absolute_deviation,0.018792107701301575
gyro_Z0,gyro,z,raw_sample_bins,0.017745232209563255
gyro_RESULTANT,gyro,unknown,other,0.01718532107770443
accel_YABSOLDEV,accel,y,absolute_deviation,0.016144057735800743
gyro_ZABSOLDEV,gyro,z,absolute_deviation,0.016027206555008888
accel_YPEAK,accel,y,peak,0.015050224028527737
accel_XPEAK,accel,x,peak,0.01489629689604044
gyro_XABSOLDEV,gyro,x,absolute_deviation,0.014266016893088818
accel_RESULTANT,accel,unknown,other,0.014073649421334267
accel_XABSOLDEV,accel,x,absolute_deviation,0.01205897144973278
accel_YSTANDDEV,accel,y,standard_deviation,0.011906125582754612
accel_X4,accel,x,raw_sample_bins,0.0116508724167943
gyro_YPEAK,gyro,y,peak,0.011597401462495327
accel_ZABSOLDEV,accel,z,absolute_deviation,0.01016821525990963
accel_X5,accel,x,raw_sample_bins,0.00987226516008377
accel_ZVAR,accel,z,variance,0.009645399637520313
accel_Z1,accel,z,raw_sample_bins,0.009516413323581219
accel_XVAR,accel,x,variance,0.009435571730136871
gyro_ZPEAK,gyro,z,peak,0.009154675528407097
accel_YVAR,accel,y,variance,0.009037899784743786
accel_YAVG,accel,y,mean,0.008954113349318504
accel_Y4,accel,y,raw_sample_bins,0.00893753208220005
accel_XYCOS,accel,x,other,0.008774671703577042
accel_ZPEAK,accel,z,peak,0.008745896629989147
accel_Z0,accel,z,raw_sample_bins,0.00849086232483387
accel_ZAVG,accel,z,mean,0.008385779336094856
accel_XSTANDDEV,accel,x,standard_deviation,0.008364607580006123
accel_ZSTANDDEV,accel,z,standard_deviation,0.008228776045143604
accel_Y5,accel,y,raw_sample_bins,0.008072199299931526
gyro_Y0,gyro,y,raw_sample_bins,0.007789952680468559
accel_Z5,accel,z,raw_sample_bins,0.007789707276970148
accel_X7,accel,x,raw_sample_bins,0.00778935244306922
gyro_X0,gyro,x,raw_sample_bins,0.00764388358220458
gyro_Z2,gyro,z,raw_sample_bins,0.007643611170351505
gyro_X4,gyro,x,raw_sample_bins,0.007638280279934406
accel_Z2,accel,z,raw_sample_bins,0.00763073842972517
accel_YZCOS,accel,y,other,0.007563058752566576
accel_X6,accel,x,raw_sample_bins,0.007472827099263668
gyro_Y3,gyro,y,raw_sample_bins,0.007393028121441603
accel_Z3,accel,z,raw_sample_bins,0.007234829477965832
accel_XAVG,accel,x,mean,0.007110517472028732
gyro_XPEAK,gyro,x,peak,0.00710717961192131
accel_Y0,accel,y,raw_sample_bins,0.006934414152055979
gyro_XVAR,gyro,x,variance,0.006882745306938887
accel_X2,accel,x,raw_sample_bins,0.006622908171266317
accel_Y3,accel,y,raw_sample_bins,0.006495622452348471
accel_X9,accel,x,raw_sample_bins,0.006433782167732716
accel_Y1,accel,y,raw_sample_bins,0.006311842240393162
accel_X1,accel,x,raw_sample_bins,0.006238519214093685
gyro_Y4,gyro,y,raw_sample_bins,0.006133631337434053
gyro_Z3,gyro,z,raw_sample_bins,0.006070942617952824
accel_Y7,accel,y,raw_sample_bins,0.00602541770786047
accel_X0,accel,x,raw_sample_bins,0.005935198627412319
gyro_XZCOR,gyro,x,other,0.0058888536877930164
gyro_Z1,gyro,z,raw_sample_bins,0.005861540324985981
gyro_YVAR,gyro,y,variance,0.005822178442031145
gyro_ZAVG,gyro,z,mean,0.0058034141547977924
accel_XZCOR,accel,x,other,0.005676831118762493
accel_Y6,accel,y,raw_sample_bins,0.005625580437481403
gyro_YMFCC1,gyro,y,mfcc_frequency,0.005613946821540594
gyro_YZCOR,gyro,y,other,0.00558202899992466
gyro_X1,gyro,x,raw_sample_bins,0.005557950120419264
gyro_YAVG,gyro,y,mean,0.005541990511119366
gyro_ZSTANDDEV,gyro,z,standard_deviation,0.005475229118019342
accel_XYCOR,accel,x,other,0.005317282397300005
gyro_Y7,gyro,y,raw_sample_bins,0.005299312993884087
gyro_YZCOS,gyro,y,other,0.005153782665729523
gyro_X2,gyro,x,raw_sample_bins,0.005151388235390186
accel_Z7,accel,z,raw_sample_bins,0.005149945616722107
accel_Z4,accel,z,raw_sample_bins,0.0051211947575211525
accel_Y2,accel,y,raw_sample_bins,0.005098800174891949
gyro_ZVAR,gyro,z,variance,0.005086854100227356
accel_X3,accel,x,raw_sample_bins,0.005047756712883711
accel_XMFCC7,accel,x,mfcc_frequency,0.005017433315515518
gyro_YMFCC0,gyro,y,mfcc_frequency,0.004985974170267582
accel_XZCOS,accel,x,other,0.004979228600859642
accel_Y9,accel,y,raw_sample_bins,0.004945095628499985
accel_XMFCC11,accel,x,mfcc_frequency,0.0048113432712852955
gyro_XSTANDDEV,gyro,x,standard_deviation,0.004782550968229771
accel_YZCOR,accel,y,other,0.004749050829559565
accel_XMFCC3,accel,x,mfcc_frequency,0.004727551247924566
gyro_ZMFCC1,gyro,z,mfcc_frequency,0.004718354437500238
gyro_XYCOS,gyro,x,other,0.0046500093303620815
gyro_ZMFCC6,gyro,z,mfcc_frequency,0.004625357687473297
gyro_Y5,gyro,y,raw_sample_bins,0.004619728308171034
gyro_X3,gyro,x,raw_sample_bins,0.004529466386884451
gyro_Y6,gyro,y,raw_sample_bins,0.004512888379395008
accel_YMFCC10,accel,y,mfcc_frequency,0.0044621978886425495
gyro_Y1,gyro,y,raw_sample_bins,0.004455565474927425
gyro_XAVG,gyro,x,mean,0.0044403173960745335
accel_YMFCC8,accel,y,mfcc_frequency,0.004394312854856253
gyro_XYCOR,gyro,x,other,0.004347802605479956
gyro_YMFCC11,gyro,y,mfcc_frequency,0.004287141375243664
gyro_ZMFCC9,gyro,z,mfcc_frequency,0.0042821671813726425
accel_YMFCC9,accel,y,mfcc_frequency,0.004267151467502117
accel_YMFCC3,accel,y,mfcc_frequency,0.004262963309884071
accel_XMFCC6,accel,x,mfcc_frequency,0.00424303999170661
accel_YMFCC1,accel,y,mfcc_frequency,0.004164763726294041
gyro_YMFCC2,gyro,y,mfcc_frequency,0.004162815399467945
gyro_XZCOS,gyro,x,other,0.00413673697039485
accel_XMFCC8,accel,x,mfcc_frequency,0.004133072681725025
gyro_X5,gyro,x,raw_sample_bins,0.004092343617230654
accel_ZMFCC1,accel,z,mfcc_frequency,0.004072097130119801
gyro_YMFCC7,gyro,y,mfcc_frequency,0.004048834554851055
accel_YMFCC12,accel,y,mfcc_frequency,0.004042620304971933
accel_XMFCC4,accel,x,mfcc_frequency,0.004022956360131502
accel_YMFCC5,accel,y,mfcc_frequency,0.004021001048386097
accel_XMFCC1,accel,x,mfcc_frequency,0.004020622931420803
gyro_ZMFCC11,gyro,z,mfcc_frequency,0.003975619096308947
accel_XMFCC9,accel,x,mfcc_frequency,0.0039421068504452705
gyro_XMFCC11,gyro,x,mfcc_frequency,0.003931581042706966
accel_XMFCC12,accel,x,mfcc_frequency,0.003929976373910904
gyro_ZMFCC4,gyro,z,mfcc_frequency,0.00391447963193059
accel_Z6,accel,z,raw_sample_bins,0.0038672005757689476
gyro_Y2,gyro,y,raw_sample_bins,0.0038623104337602854
accel_YMFCC0,accel,y,mfcc_frequency,0.0038496407214552164
accel_Y8,accel,y,raw_sample_bins,0.0038272254168987274
accel_XMFCC10,accel,x,mfcc_frequency,0.003823451232165098
gyro_YMFCC5,gyro,y,mfcc_frequency,0.0037872372195124626
