sensor,axis,family,normalized_importance
accel,x,raw_sample_bins,0.0705584124661982
accel,y,raw_sample_bins,0.06227372959256172
accel,z,raw_sample_bins,0.06096819043159485
gyro,z,raw_sample_bins,0.05298977717757225
accel,x,mfcc_frequency,0.05289252917282283
gyro,y,raw_sample_bins,0.050586707424372435
accel,y,mfcc_frequency,0.04957042261958122
gyro,y,mfcc_frequency,0.049426464131101966
gyro,z,mfcc_frequency,0.04809674178250134
gyro,x,raw_sample_bins,0.0444304954726249
gyro,x,mfcc_frequency,0.04099839297123253
accel,z,mfcc_frequency,0.03689804091118276
accel,x,other,0.024748013820499182
gyro,x,other,0.019023402594029903
gyro,y,absolute_deviation,0.018792107701301575
gyro,unknown,other,0.01718532107770443
accel,y,absolute_deviation,0.016144057735800743
gyro,z,absolute_deviation,0.016027206555008888
accel,y,peak,0.015050224028527737
accel,x,peak,0.01489629689604044
gyro,x,absolute_deviation,0.014266016893088818
accel,unknown,other,0.014073649421334267
accel,y,other,0.01231210958212614
accel,x,absolute_deviation,0.01205897144973278
accel,y,standard_deviation,0.011906125582754612
gyro,y,peak,0.011597401462495327
gyro,y,other,0.010735811665654182
accel,z,absolute_deviation,0.01016821525990963
accel,z,variance,0.009645399637520313
accel,x,variance,0.009435571730136871
gyro,z,peak,0.009154675528407097
accel,y,variance,0.009037899784743786
accel,y,mean,0.008954113349318504
accel,z,peak,0.008745896629989147
accel,z,mean,0.008385779336094856
accel,x,standard_deviation,0.008364607580006123
accel,z,standard_deviation,0.008228776045143604
accel,x,mean,0.007110517472028732
gyro,x,peak,0.00710717961192131
gyro,x,variance,0.006882745306938887
gyro,y,variance,0.005822178442031145
gyro,z,mean,0.0058034141547977924
gyro,y,mean,0.005541990511119366
gyro,z,standard_deviation,0.005475229118019342
gyro,z,variance,0.005086854100227356
gyro,x,standard_deviation,0.004782550968229771
gyro,x,mean,0.0044403173960745335
gyro,y,standard_deviation,0.00331954681314528
