activity,precision,recall,f1
drinking,0.0,0.0,0.0
chips,0.0,0.0,0.0
writing,0.022727272727272728,0.023076923076923078,0.022900763358778626
sandwich,0.05747126436781609,0.019230769230769232,0.02881844380403458
pasta,0.06802721088435375,0.07692307692307693,0.07220216606498195
sitting,0.15294117647058825,0.05,0.07536231884057971
soup,0.2254335260115607,0.15,0.18013856812933027
clapping,0.24521072796934865,0.24615384615384617,0.2456813819577735
typing,0.18010291595197256,0.40384615384615385,0.2491103202846975
teeth,0.2905027932960894,0.6,0.39146800501882056
standing,0.38741721854304634,0.45,0.41637010676156583
catch,0.4013840830449827,0.4461538461538462,0.4225865209471767
dribbling,0.46215139442231074,0.4461538461538462,0.45401174168297453
folding,0.4207650273224044,0.5923076923076923,0.49201277955271566
kicking,0.4475920679886686,0.6076923076923076,0.5154975530179445
walking,0.8308823529411765,0.4346153846153846,0.5707070707070707
stairs,0.5472972972972973,0.6230769230769231,0.5827338129496403
jogging,0.9033613445378151,0.8269230769230769,0.8634538152610441
